hsv1[0],hsv2[0],hsv3[0],hsv4[0]
12,8,10,10
14,10,14,10
18,16,16,16
24,16,22,22
34,22,26,26
42,32,38,32
54,38,46,38
62,56,60,46
60,52,64,50
68,56,64,54
72,64,72,56
80,72,78,68
84,80,84,78
90,86,92,88
94,90,96,92
100,96,102,100
106,104,104,104
110,110,108,110
118,114,116,116
118,128,122,120
118,126,130,130
118,126,130,136
118,124,128,136
118,126,130,138
118,128,130,134
118,130,132,136
118,132,134,140
128,136,136,138
130,140,138,142
136,142,140,144
138,144,144,148
142,144,142,148
142,150,146,148
148,152,148,150
150,152,152,152
158,162,156,158
166,166,162,164
168,172,166,164
176,176,168,166
190,188,178,174
196,194,192,184
210,208,206,200
220,216,212,204
226,224,218,214
230,228,224,218
238,238,230,222
238,236,236,222
242,238,234,230
242,236,236,232
244,238,238,228
246,242,236,228
250,242,242,238
252,250,248,240
254,254,254,254
262,260,260,254
268,270,270,272
276,276,276,292
278,288,288,296
286,292,294,310
292,304,306,320
300,308,312,324
304,318,318,330
314,324,326,334
318,330,332,344
326,334,340,352
330,334,342,354
338,342,350,356
342,346,352,0
346,352,356,2
350,2,356,8
358,0,4,8
6,6,2,8
10,4,6,8
