hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,4,4,0
350,8,6,4
352,12,8,10
356,20,14,14
354,20,12,14
0,24,12,20
2,30,26,26
354,32,24,24
356,38,24,32
4,48,40,42
14,54,48,54
22,64,62,64
30,70,72,74
40,78,86,82
50,80,86,88
58,88,92,90
74,92,100,100
82,94,102,100
92,98,110,112
108,106,116,120
114,110,118,124
126,120,124,128
132,126,128,126
130,124,128,124
138,126,132,128
136,128,130,128
140,130,132,132
148,136,134,134
148,136,140,138
158,142,144,142
160,140,148,144
162,142,146,142
170,142,150,148
178,148,156,150
178,146,160,152
200,150,170,158
206,160,184,166
214,162,196,168
216,170,206,172
-1,-1,-1,-1
230,190,230,200
236,206,232,210
236,214,236,220
240,224,238,226
246,230,244,228
246,236,246,238
248,240,248,238
250,238,250,244
248,238,252,244
252,242,248,240
254,246,250,244
258,248,260,252
262,258,260,260
268,264,262,266
276,272,272,272
282,288,276,286
292,298,284,294
298,308,288,304
304,316,298,312
312,322,306,316
316,328,312,324
320,332,318,328
322,334,324,332
328,340,330,336
330,344,334,340
332,344,334,342
334,354,342,350
336,354,346,352
342,358,352,354
348,0,358,356
346,4,358,358
348,6,0,358
350,6,2,2
