hsv1[0],hsv2[0],hsv3[0],hsv4[0]
356,0,358,0
358,356,358,0
0,0,2,4
4,8,4,8
8,6,12,10
18,18,18,16
26,24,34,26
28,36,44,32
32,38,48,40
36,36,48,42
46,44,54,46
52,56,62,58
62,64,70,72
70,74,78,80
72,80,82,80
76,84,88,90
80,86,88,92
84,94,92,96
88,98,98,102
92,104,104,104
94,108,106,112
98,112,110,116
100,118,114,116
102,122,116,118
102,122,120,116
102,120,118,120
108,124,124,122
110,126,128,120
116,132,128,128
120,136,132,128
124,138,136,130
128,136,136,132
130,138,138,132
138,144,142,134
144,146,148,138
154,148,152,142
168,158,162,150
176,158,166,152
192,164,178,156
208,176,186,172
218,192,202,190
228,200,214,200
238,216,218,220
244,222,228,224
248,228,234,230
250,234,238,242
256,246,244,248
254,248,248,246
258,246,250,254
256,248,248,254
260,250,254,258
262,262,254,262
266,268,262,270
274,276,268,282
278,290,272,292
284,298,282,306
296,308,290,312
300,314,300,320
304,320,306,326
312,322,312,330
316,328,320,330
322,334,324,334
326,334,328,340
332,338,332,344
334,340,336,346
336,346,340,350
342,346,344,352
346,352,348,354
348,352,350,356
350,352,352,0
352,354,354,358
352,354,358,0
356,356,356,2
