hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,12,6,4
352,18,8,8
354,26,10,10
358,26,16,10
358,28,18,18
2,38,26,22
8,44,28,28
358,54,32,26
2,60,30,32
16,60,48,42
24,70,54,52
32,76,70,62
38,82,74,72
44,86,82,78
46,86,82,78
56,90,88,86
68,94,96,94
72,94,98,94
84,102,106,104
96,106,108,112
106,118,114,116
110,118,116,124
120,118,122,128
118,118,118,130
118,118,116,130
128,118,122,132
134,128,126,134
140,130,128,136
144,134,132,140
152,136,132,142
160,138,140,146
166,138,144,146
174,142,144,146
184,146,150,150
192,148,156,154
208,154,170,158
216,162,178,168
220,164,188,168
226,166,198,176
232,180,212,190
238,190,224,202
240,200,232,210
244,212,238,222
248,220,244,222
250,224,246,234
254,234,248,238
254,234,250,238
256,236,254,238
256,236,250,234
256,236,250,242
258,238,254,244
258,244,258,250
262,250,262,256
268,260,268,274
272,268,274,276
278,280,278,288
288,288,288,304
294,298,296,312
300,310,304,320
306,314,310,324
312,324,316,328
318,326,324,330
320,334,328,336
326,340,332,340
328,340,336,344
330,350,342,346
334,352,348,352
336,356,354,356
340,0,356,356
346,4,0,4
348,8,358,6
350,6,10,6
352,6,4,4
