hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,2,0,6
350,6,0,14
352,10,10,16
358,14,14,24
0,20,20,30
4,30,28,42
14,34,36,52
-1,-1,-1,-1
20,46,54,72
24,50,56,74
32,60,70,82
40,70,80,88
54,78,88,94
64,80,94,96
82,86,96,96
94,90,104,104
100,94,106,108
106,96,108,108
122,104,114,120
130,114,126,122
138,124,128,120
146,126,136,120
144,124,138,118
144,126,136,128
146,130,136,126
146,128,138,124
146,134,140,128
150,134,144,130
152,138,144,132
156,142,148,134
158,144,150,138
158,146,154,136
164,148,156,140
166,152,158,142
170,156,164,146
176,162,170,148
184,170,180,154
192,172,190,158
198,182,200,154
206,196,208,162
212,204,218,174
216,214,224,192
218,222,232,202
226,228,234,214
228,234,240,220
232,240,246,232
234,242,246,232
234,244,248,232
232,240,250,240
236,244,248,232
244,250,250,242
250,250,250,242
256,260,258,252
262,266,262,262
272,272,266,270
280,280,272,282
292,290,278,292
298,298,284,306
308,306,288,312
312,312,298,320
318,320,304,326
320,322,312,330
324,330,318,334
328,332,326,342
330,336,328,344
334,340,332,350
336,344,336,354
340,348,342,358
340,350,346,2
342,354,350,0
346,356,356,4
346,0,0,6
348,4,0,8
