k,real_k,effective_k,virtual_stream_count,target_effective_k,sample_index,position_combination,selected_candidate_count,common_route_count,excluded_illegal_positions,authorized_max_ber,authorized_position_bers,security_min_route_min_ber,security_avg_route_min_ber,worst_route,optimizer,usage_ratio,usage_counts,selected_candidate_ids,selected_probe_sets,anchor_candidate_id,anchor_source,anchor_min_route_min_ber,anchor_worst_route,security_gain_over_anchor,floor_applied,optimizer_diagnostic,weak_routes
12,12,12,0,8,1,"(2, 3, 4, 5, 7, 9, 13, 15, 16, 18, 27, 28)",1,84,[19],0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.23400000,0.45007143,24->5,linprog,[1.00000000],[1000],[21],"[55, 80, 85, 100, 125, 180, 205, 215, 240, 245, 265, 275, 285, 310, 335]",21,baseline_global_guarded,0.23400000,24->5,0.00000000,False,ok,"[24->5, 1->18, 10->18, 8->5, 14->18, 23->9, 14->9, 1->13, 23->15, 1->9, 24->9, 17->9, 17->4]"
12,12,12,0,8,3,"(1, 4, 5, 8, 10, 14, 15, 16, 17, 23, 24, 28)",7,72,"[9, 19]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.40769626,0.47044784,2->10,linprog,"[0.16352416, 0.00000000, 0.14946818, 0.24334050, 0.23563956, 0.00000000, 0.20802760]","[164, 0, 149, 243, 236, 0, 208]","[273, 21, 289, 209, 193, 1, 61]","[45, 50, 90, 95, 100, 105, 120, 160, 175, 220, 240, 250, 260, 275, 305] | [15, 25, 40, 45, 60, 65, 105, 135, 140, 160, 235, 250, 285, 300, 325] | [15, 35, 45, 60, 85, 110, 180, 195, 200, 220, 225, 230, 300, 325, 350] | [10, 50, 80, 85, 125, 165, 230, 240, 255, 275, 280, 290, 305, 350, 365] | [5, 10, 55, 115, 125, 155, 200, 210, 220, 240, 305, 325, 335, 340, 350] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355]",273,anchor_worst_targeted,0.27800000,2->1,0.12969626,False,ok,"[2->1, 2->17, 13->24, 7->24, 18->1, 27->23, 18->8, 27->5, 7->10, 7->1, 3->14]"
