hsv1[0],hsv2[0],hsv3[0],hsv4[0]
2,2,2,8
10,8,2,14
10,2,8,14
20,8,12,18
20,12,12,22
42,16,24,26
42,18,26,30
48,30,30,34
54,32,34,44
70,44,40,46
70,46,44,54
82,50,58,60
90,60,70,72
98,70,74,78
98,76,78,78
98,82,84,84
102,88,86,88
104,90,90,90
110,94,92,92
110,94,94,92
112,100,102,96
112,102,102,98
112,106,102,100
116,106,102,98
114,102,104,98
114,110,104,104
116,114,106,102
114,118,108,110
120,120,110,108
122,128,114,112
126,136,114,116
124,136,114,120
126,140,114,124
128,150,128,136
134,160,128,138
140,174,136,152
148,188,148,168
154,200,152,180
160,208,158,190
170,214,172,200
184,220,192,214
190,224,200,218
206,226,214,222
210,232,216,226
214,232,222,224
220,236,228,236
224,238,232,236
230,240,244,238
232,242,240,242
232,240,242,242
232,244,244,244
234,246,246,248
232,244,254,248
250,248,260,250
252,248,276,256
260,260,290,262
276,270,302,272
286,274,316,278
286,282,318,288
302,290,322,298
314,304,332,314
326,310,342,324
330,318,346,330
344,326,350,340
348,338,348,354
350,344,354,348
356,348,356,358
358,352,356,4
358,350,0,6
4,350,4,8
4,354,0,12
10,6,4,4
6,8,4,8
