hsv1[0],hsv2[0],hsv3[0],hsv4[0]
4,6,6,6
8,6,6,10
10,10,10,12
12,12,10,14
14,16,14,18
18,22,20,20
20,24,22,28
24,30,32,32
30,36,36,40
26,40,42,44
32,48,52,52
40,58,60,62
38,60,62,66
50,72,70,72
58,74,76,80
72,82,82,84
80,90,86,90
84,94,94,94
94,100,96,98
102,106,104,104
108,112,110,110
112,116,114,114
114,118,120,116
118,118,118,118
118,122,122,118
120,120,122,120
126,124,124,124
130,124,128,126
130,128,132,124
134,132,132,132
140,134,138,132
142,136,140,132
146,142,146,132
156,150,154,142
164,156,162,144
176,172,176,148
192,186,194,164
198,196,200,172
206,202,206,184
212,210,214,198
218,216,218,212
222,222,222,220
228,226,224,226
230,230,230,232
232,232,232,234
234,234,234,238
234,234,236,238
238,236,238,242
236,236,238,240
236,236,238,240
238,238,238,240
242,242,244,244
246,246,246,248
254,250,250,256
262,260,256,264
274,270,264,276
288,282,272,282
298,288,282,296
308,300,288,308
316,306,296,316
322,316,306,322
326,322,316,330
334,330,324,334
340,336,332,340
344,342,336,344
348,346,342,350
350,350,346,352
352,350,350,352
356,356,354,354
0,356,356,0
4,2,0,4
4,6,4,6
6,6,6,8
