hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,2,2,0
0,6,2,6
4,4,6,6
2,10,10,10
4,8,8,10
4,16,12,18
4,24,18,16
6,28,20,20
8,30,22,18
12,38,26,26
14,38,30,26
14,52,40,34
22,64,42,42
24,72,48,50
30,76,56,50
34,84,64,66
36,92,70,70
44,94,70,76
48,98,70,84
70,104,74,88
80,110,84,94
82,112,96,98
96,110,88,100
98,116,92,104
96,114,90,100
106,114,88,100
102,114,96,108
104,114,94,104
110,114,96,106
140,122,98,112
148,122,108,118
158,124,116,126
164,130,112,126
196,130,140,132
200,136,146,140
216,150,184,150
224,160,192,168
226,170,204,184
228,184,214,192
232,192,222,202
236,208,228,208
234,210,230,214
236,218,232,216
-1,-1,-1,-1
-1,-1,-1,-1
244,228,246,234
248,238,248,236
248,234,250,238
-1,-1,-1,-1
-1,-1,-1,-1
252,242,252,242
256,248,262,248
260,250,262,250
264,252,262,260
264,252,270,272
274,262,272,282
284,280,288,302
292,288,296,312
304,312,312,324
316,312,312,332
320,326,326,340
328,330,330,344
332,336,336,346
336,342,344,350
342,342,346,356
346,348,346,356
350,350,354,356
350,354,358,358
352,354,358,358
354,358,358,0
354,356,2,0
356,2,2,0
358,2,2,0
