hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,4,0,6
356,4,0,10
0,8,2,14
0,8,8,12
4,12,8,20
8,22,10,22
10,24,18,32
10,34,24,42
10,36,28,40
16,42,32,48
16,50,34,54
22,60,48,60
28,72,52,76
30,78,66,80
34,90,70,88
40,98,70,94
50,96,84,96
54,100,86,98
68,104,80,102
72,112,94,102
84,114,100,106
88,112,96,102
88,112,100,108
96,112,98,110
94,110,98,106
96,114,102,106
100,122,104,110
104,122,108,106
110,128,110,114
126,136,114,116
132,130,116,118
140,132,118,122
142,138,124,128
166,142,138,128
188,148,148,130
210,166,170,136
216,174,180,156
222,184,190,162
226,190,200,178
232,208,214,192
232,210,224,206
236,218,226,212
240,224,234,214
246,234,234,224
246,228,246,230
250,240,248,240
248,242,250,246
250,242,250,246
248,242,248,246
248,238,250,246
250,244,250,246
254,248,254,250
258,248,260,250
262,250,260,248
270,260,270,256
278,266,284,280
282,272,286,284
290,272,292,292
296,280,304,298
312,298,310,310
316,312,318,318
324,310,324,330
328,324,332,332
336,330,340,342
340,344,340,344
346,340,352,344
346,344,354,356
350,348,352,354
350,354,356,356
352,348,356,2
354,358,358,358
354,356,0,4
356,6,358,0
