hsv1[0],hsv2[0],hsv3[0],hsv4[0]
20,16,8,18
26,12,12,20
30,12,12,22
44,18,20,32
52,24,26,30
86,52,48,54
-1,-1,-1,-1
112,80,72,90
116,74,74,92
106,66,72,82
102,70,74,80
104,84,80,84
110,92,90,92
116,96,100,102
118,106,102,104
122,108,108,108
126,112,110,112
126,116,118,110
130,120,124,118
134,124,126,120
138,126,128,120
138,128,130,122
138,130,132,126
138,130,134,124
140,130,132,124
138,130,132,126
140,134,134,126
140,138,138,132
142,140,140,132
144,144,140,134
144,146,142,142
146,146,142,142
146,152,148,146
146,158,144,148
150,160,148,152
152,172,150,156
156,180,154,164
154,190,156,172
154,192,158,180
158,206,168,194
164,218,178,202
176,222,184,216
186,226,200,218
200,230,208,230
202,236,220,234
214,238,226,238
216,236,232,238
228,240,232,242
228,244,230,246
222,244,238,244
228,246,238,248
232,250,240,248
238,252,250,252
236,258,254,254
246,260,260,264
250,264,282,266
264,268,290,274
284,278,306,278
294,286,316,292
308,292,322,300
318,302,326,308
330,308,330,318
344,314,334,324
348,322,344,340
356,328,344,342
0,336,352,350
6,344,354,4
8,350,358,4
14,350,2,2
14,358,2,10
22,4,2,14
12,8,6,12
12,8,6,12
