hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,0,0,10
350,358,2,4
350,2,0,10
354,4,2,14
0,10,10,18
2,18,12,22
6,30,22,32
0,42,24,38
2,64,24,44
14,66,40,50
20,70,44,58
26,78,56,68
36,86,70,76
44,96,80,84
50,98,82,90
58,104,90,94
68,112,98,98
72,114,100,104
80,126,104,110
92,132,114,116
102,132,120,116
106,132,122,118
110,134,124,130
118,134,128,128
114,134,130,126
118,134,130,126
124,138,132,130
136,142,138,132
138,142,140,132
146,146,142,138
156,148,144,138
162,150,148,140
170,152,150,142
184,156,152,144
196,162,160,150
212,168,172,156
216,176,184,162
224,186,194,166
232,192,202,174
238,200,212,192
244,208,222,202
246,214,228,212
250,224,232,220
250,232,236,224
252,234,240,228
254,240,246,232
254,242,246,238
254,244,246,240
256,246,248,238
256,242,250,242
254,246,248,238
256,248,254,244
260,250,254,250
264,254,260,260
266,260,264,262
274,262,270,270
280,268,278,276
284,274,282,286
288,280,290,294
296,286,294,308
310,302,314,326
314,308,320,330
318,314,322,336
322,320,328,342
326,324,334,344
328,330,336,344
332,334,338,350
334,336,344,354
340,342,346,356
342,346,346,358
344,348,352,0
348,350,356,2
348,354,354,2
