hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,10,0,0
350,12,2,2
352,12,4,6
356,18,8,12
358,20,14,22
2,30,22,28
4,34,28,34
6,42,40,48
12,48,44,58
16,56,54,68
22,60,64,70
26,66,72,78
40,74,84,86
56,82,94,94
62,84,98,98
80,90,104,106
92,94,108,110
104,98,118,118
114,104,122,118
134,118,132,118
140,120,134,118
148,124,134,118
148,122,134,120
148,122,136,118
148,122,134,118
148,126,136,124
150,132,140,126
154,134,144,130
158,136,146,132
160,142,150,138
164,144,154,138
166,144,156,140
170,148,158,142
174,150,164,146
178,152,168,148
188,164,176,156
192,168,186,162
198,170,190,164
202,176,196,170
208,186,202,178
216,196,210,186
220,206,222,196
226,216,228,212
232,222,232,218
232,224,236,224
236,234,240,232
236,234,246,236
240,236,246,236
238,236,246,234
242,238,246,238
244,244,250,240
250,246,252,248
254,252,254,250
260,260,260,260
268,266,262,262
276,276,268,272
284,286,274,280
292,294,278,286
296,302,284,296
302,310,288,304
308,316,296,310
314,324,302,316
318,328,306,326
322,334,316,328
328,336,318,334
330,342,324,334
334,346,330,340
336,350,334,346
340,352,340,348
342,356,346,354
348,4,352,354
348,8,356,358
350,10,358,4
