k,samples,mean_authorized_uncoded_ber,median_authorized_uncoded_ber,mean_authorized_postfec_ber,median_authorized_postfec_ber,mean_worst_unauthorized_postfec_ber,median_worst_unauthorized_postfec_ber,mean_avg_unauthorized_postfec_ber,median_avg_unauthorized_postfec_ber,mean_gap_worst_minus_auth_postfec,mean_gap_avg_minus_auth_postfec,mean_fec_gain,improved_count,worsened_count,mean_calibration_ber,mean_leak_positions_le_0p05,mean_leak_positions_le_0p10,decoder_mode_counts
2,20,0.0,0.0,0.0,0.0,0.21973684210526317,0.22368421052631576,0.22995951417004049,0.23582995951417002,0.21973684210526317,0.22995951417004049,0.0,0,0,0.0,0.0,0.0,"{'baseline': 18, 'logistic_top2': 2}"
3,20,0.017083333333333332,0.0,0.02017543859649123,0.0,0.27499999999999997,0.2763157894736842,0.30161403508771933,0.29982456140350877,0.25482456140350873,0.28143859649122804,0.0030921052631578934,1,3,0.01641666666666667,0.0,0.0,"{'baseline': 9, 'logistic_top3': 7, 'logistic_top2': 4}"
4,20,0.045208333333333336,0.03645833333333333,0.02335526315789474,0.0,0.3003289473684211,0.29605263157894735,0.3296326754385965,0.33031798245614036,0.27697368421052626,0.3062774122807018,-0.021853070175438596,9,3,0.0421875,0.0,0.0,"{'logistic_top3': 11, 'logistic_top2': 7, 'baseline': 2}"
5,20,0.09058333333333332,0.09166666666666667,0.03736842105263158,0.042105263157894736,0.32394736842105265,0.3236842105263158,0.3559267734553776,0.35045766590389016,0.286578947368421,0.318558352402746,-0.05321491228070176,20,0,0.08764999999999999,0.0,0.0,"{'logistic_top3': 15, 'logistic_top2': 5}"
6,20,0.10409722222222224,0.10069444444444445,0.05701754385964911,0.039473684210526314,0.35,0.3508771929824561,0.3720693779904306,0.37260765550239233,0.2929824561403508,0.31505183413078147,-0.047079678362573096,18,2,0.09595833333333334,0.0,0.0,"{'logistic_top3': 14, 'logistic_top2': 6}"
7,20,0.12392857142857142,0.11964285714285713,0.0642857142857143,0.046992481203007516,0.35131578947368425,0.3533834586466166,0.3785445757250268,0.3794307196562835,0.2870300751879699,0.3142588614393126,-0.05964285714285714,19,1,0.11657142857142858,0.0,0.0,"{'logistic_top3': 18, 'logistic_top2': 2}"
8,20,0.166875,0.1640625,0.0975328947368421,0.0805921052631579,0.3580592105263158,0.3601973684210526,0.3844901315789474,0.3875,0.2605263157894737,0.2869572368421053,-0.0693421052631579,20,0,0.15678125,0.0,0.0,"{'logistic_top3': 17, 'logistic_top2': 3}"
