k,target,num_probes,conv_code,rate,decoder_mode,calibration_ber,authorized_uncoded_ber,authorized_postfec_ber,worst_unauthorized_postfec_ber,avg_unauthorized_postfec_ber,median_unauthorized_postfec_ber,leak_positions_le_0p05,leak_positions_le_0p10,evaluated_unauthorized_positions,status
2,"(17, 22)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2236842105263158,0.23481781376518215,0.2236842105263158,0,0,26,ok
2,"(15, 26)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.0,0.0,0.0,0.22368421052631576,0.2236842105263158,0.22368421052631576,0,0,26,ok
2,"(3, 21)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.17105263157894735,0.19331983805668013,0.17105263157894735,0,0,26,ok
2,"(6, 12)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.19736842105263158,0.20748987854251014,0.19736842105263158,0,0,26,ok
2,"(14, 17)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.25,0.2651821862348178,0.25,0,0,26,ok
2,"(13, 26)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.25,0.2550607287449393,0.25,0,0,26,ok
2,"(13, 23)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.23684210526315788,0.23684210526315785,0.23684210526315788,0,0,26,ok
2,"(12, 18)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.22368421052631576,0.2236842105263158,0.22368421052631576,0,0,26,ok
2,"(7, 22)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.17105263157894735,0.22570850202429152,0.17105263157894737,0,0,26,ok
2,"(1, 5)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.22368421052631576,0.2469635627530364,0.22368421052631576,0,0,26,ok
2,"(11, 14)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.23684210526315788,0.23684210526315785,0.23684210526315788,0,0,26,ok
2,"(1, 24)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.14473684210526316,0.15789473684210525,0.14473684210526316,0,0,26,ok
2,"(13, 17)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2368421052631579,0.23684210526315785,0.2368421052631579,0,0,26,ok
2,"(10, 20)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.25,0.25,0.25,0,0,26,ok
2,"(5, 10)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.25,0.2550607287449393,0.25,0,0,26,ok
2,"(1, 6)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.22368421052631576,0.2236842105263158,0.22368421052631576,0,0,26,ok
2,"(9, 14)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2368421052631579,0.2591093117408907,0.2368421052631579,0,0,26,ok
2,"(8, 12)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.0,0.0,0.0,0.2368421052631579,0.2530364372469635,0.2368421052631579,0,0,26,ok
2,"(6, 16)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.21052631578947367,0.21052631578947364,0.21052631578947367,0,0,26,ok
2,"(6, 23)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.19736842105263158,0.2034412955465587,0.19736842105263158,0,0,26,ok
3,"(5, 9, 24)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2982456140350877,0.34526315789473677,0.30701754385964913,0,0,25,ok
3,"(8, 17, 27)",15,conv_k3_r13,0.31666666666666665,logistic_top3,0.03,0.041666666666666664,0.07894736842105263,0.2982456140350877,0.3080701754385965,0.3157894736842105,0,0,25,ok
3,"(11, 15, 22)",15,conv_k3_r13,0.31666666666666665,baseline,0.0,0.0,0.0,0.2807017543859649,0.303859649122807,0.2982456140350877,0,0,25,ok
3,"(15, 19, 28)",15,conv_k3_r13,0.31666666666666665,logistic_top2,0.0,0.0,0.0,0.2807017543859649,0.30350877192982456,0.2982456140350877,0,0,25,ok
