sample_index,position_combination,anchor_candidate_id,anchor_source,anchor_min_route_min_ber,anchor_worst_route,weak_routes,weak_route_anchor_values
1,"(3, 8, 11, 14, 16, 18, 19, 21, 22, 27, 28)",21,baseline_global_guarded,0.36700000,26->14,"[26->14, 26->18, 26->19, 26->21, 26->16]","{'26->14': '0.36700000', '26->18': '0.37600000', '26->19': '0.39100000', '26->21': '0.42600000', '26->16': '0.42900000'}"
2,"(3, 8, 11, 14, 16, 19, 21, 22, 26, 27, 28)",21,baseline_global_guarded,0.30900000,18->27,"[18->27, 18->26, 18->14, 18->8, 18->11]","{'18->27': '0.30900000', '18->26': '0.36300000', '18->14': '0.41900000', '18->8': '0.44400000', '18->11': '0.46200000'}"
4,"(3, 8, 11, 14, 16, 18, 19, 21, 22, 26, 28)",29,baseline_global_guarded,0.36900000,27->21,"[27->21, 27->8, 27->18, 27->28, 27->16]","{'27->21': '0.36900000', '27->8': '0.39700000', '27->18': '0.40500000', '27->28': '0.43400000', '27->16': '0.45800000'}"
5,"(3, 8, 11, 14, 16, 18, 21, 22, 26, 27, 28)",45,baseline_global_guarded,0.20300000,19->3,"[19->3, 19->22, 19->16, 19->8, 19->28]","{'19->3': '0.20300000', '19->22': '0.37000000', '19->16': '0.46000000', '19->8': '0.47000000', '19->28': '0.47500000'}"
5,"(3, 8, 11, 14, 16, 18, 21, 22, 26, 27, 28)",45,baseline_global_guarded,0.20300000,19->3,"[19->3, 19->22, 19->16, 19->8, 19->28]","{'19->3': '0.20300000', '19->22': '0.37000000', '19->16': '0.46000000', '19->8': '0.47000000', '19->28': '0.47500000'}"
