k,position_combination,selection_rank,candidate_id,source,probes,common_route_count,excluded_illegal_positions,candidate_min_route_min_ber,candidate_average_route_min_ber,worst_route,route_min_bers
2,"(9, 18)",1,217,probe_repair,"[40, 60, 65, 120, 125, 145, 150, 160, 170, 220, 235, 250, 300, 310, 365]",32,"[1, 5]",0.00000000,0.31962500,2->9,"{'2->9': '0.00000000', '2->18': '0.48400000', '4->9': '0.00000000', '4->18': '0.48400000', '6->9': '0.00000000', '6->18': '0.48400000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.25700000', '11->18': '0.25900000', '15->9': '0.00000000', '15->18': '0.48400000', '16->9': '0.00000000', '16->18': '0.48400000', '17->9': '0.48500000', '17->18': '0.48300000', '20->9': '0.48500000', '20->18': '0.48300000', '21->9': '0.48500000', '21->18': '0.48300000', '22->9': '0.48500000', '22->18': '0.48300000', '24->9': '0.25700000', '24->18': '0.25900000', '25->9': '0.00000000', '25->18': '0.48400000', '26->9': '0.00000000', '26->18': '0.48400000', '27->9': '0.48500000', '27->18': '0.48300000', '28->9': '0.00000000', '28->18': '0.48400000'}"
2,"(9, 18)",2,153,probe_repair,"[45, 80, 90, 100, 125, 195, 205, 210, 230, 270, 285, 295, 320, 350, 355]",32,"[1, 5]",0.00000000,0.34987500,2->9,"{'2->9': '0.00000000', '2->18': '0.48400000', '4->9': '0.48500000', '4->18': '0.48300000', '6->9': '0.00000000', '6->18': '0.48400000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.48500000', '11->18': '0.48300000', '15->9': '0.00000000', '15->18': '0.48400000', '16->9': '0.48500000', '16->18': '0.48300000', '17->9': '0.25700000', '17->18': '0.25900000', '20->9': '0.48500000', '20->18': '0.48300000', '21->9': '0.48500000', '21->18': '0.48300000', '22->9': '0.00000000', '22->18': '0.48400000', '24->9': '0.48500000', '24->18': '0.48300000', '25->9': '0.00000000', '25->18': '0.48400000', '26->9': '0.48500000', '26->18': '0.48300000', '27->9': '0.22600000', '27->18': '0.25800000', '28->9': '0.25700000', '28->18': '0.25900000'}"
2,"(9, 18)",3,175,probe_repair,"[5, 10, 15, 25, 75, 95, 110, 125, 165, 190, 195, 205, 265, 280, 340]",32,"[1, 5]",0.00000000,0.34887500,6->9,"{'2->9': '0.48500000', '2->18': '0.48300000', '4->9': '0.48500000', '4->18': '0.48300000', '6->9': '0.00000000', '6->18': '0.48400000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.48400000', '11->18': '0.00000000', '15->9': '0.48500000', '15->18': '0.48300000', '16->9': '0.00000000', '16->18': '0.48400000', '17->9': '0.48500000', '17->18': '0.48300000', '20->9': '0.00000000', '20->18': '0.48400000', '21->9': '0.48400000', '21->18': '0.00000000', '22->9': '0.00000000', '22->18': '0.48400000', '24->9': '0.25700000', '24->18': '0.25900000', '25->9': '0.48500000', '25->18': '0.48300000', '26->9': '0.48500000', '26->18': '0.48300000', '27->9': '0.00000000', '27->18': '0.48400000', '28->9': '0.48500000', '28->18': '0.48300000'}"
2,"(9, 18)",4,23,probe_repair,"[5, 10, 15, 65, 115, 130, 135, 165, 180, 190, 250, 310, 325, 335, 360]",32,"[1, 5]",0.00000000,0.34787500,2->9,"{'2->9': '0.00000000', '2->18': '0.48400000', '4->9': '0.48500000', '4->18': '0.48300000', '6->9': '0.00000000', '6->18': '0.48400000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.48500000', '11->18': '0.48300000', '15->9': '0.48500000', '15->18': '0.48300000', '16->9': '0.48500000', '16->18': '0.48300000', '17->9': '0.00000000', '17->18': '0.48400000', '20->9': '0.48400000', '20->18': '0.00000000', '21->9': '0.48500000', '21->18': '0.48300000', '22->9': '0.00000000', '22->18': '0.48400000', '24->9': '0.48500000', '24->18': '0.48300000', '25->9': '0.00000000', '25->18': '0.48400000', '26->9': '0.25800000', '26->18': '0.22600000', '27->9': '0.48400000', '27->18': '0.00000000', '28->9': '0.48500000', '28->18': '0.48300000'}"
2,"(9, 18)",5,128,probe_repair,"[10, 30, 60, 80, 85, 90, 130, 135, 225, 240, 255, 260, 280, 320, 345]",32,"[1, 5]",0.00000000,0.31862500,2->9,"{'2->9': '0.00000000', '2->18': '0.48400000', '4->9': '0.00000000', '4->18': '0.48400000', '6->9': '0.48500000', '6->18': '0.48300000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.48400000', '11->18': '0.00000000', '15->9': '0.00000000', '15->18': '0.48400000', '16->9': '0.00000000', '16->18': '0.48400000', '17->9': '0.48400000', '17->18': '0.00000000', '20->9': '0.48400000', '20->18': '0.00000000', '21->9': '0.48500000', '21->18': '0.48300000', '22->9': '0.48500000', '22->18': '0.48300000', '24->9': '0.48500000', '24->18': '0.48300000', '25->9': '0.48400000', '25->18': '0.00000000', '26->9': '0.48400000', '26->18': '0.00000000', '27->9': '0.48500000', '27->18': '0.48300000', '28->9': '0.25900000', '28->18': '0.25700000'}"
2,"(9, 18)",6,201,probe_repair,"[30, 45, 115, 145, 160, 195, 205, 235, 255, 260, 270, 285, 300, 350, 365]",32,"[1, 5]",0.00000000,0.31762500,2->9,"{'2->9': '0.00000000', '2->18': '0.48400000', '4->9': '0.48500000', '4->18': '0.48300000', '6->9': '0.48500000', '6->18': '0.48300000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.00000000', '11->18': '0.48400000', '15->9': '0.00000000', '15->18': '0.48400000', '16->9': '0.48400000', '16->18': '0.00000000', '17->9': '0.48400000', '17->18': '0.00000000', '20->9': '0.00000000', '20->18': '0.48400000', '21->9': '0.48500000', '21->18': '0.48300000', '22->9': '0.22600000', '22->18': '0.25800000', '24->9': '0.48400000', '24->18': '0.00000000', '25->9': '0.48400000', '25->18': '0.00000000', '26->9': '0.48500000', '26->18': '0.48300000', '27->9': '0.48500000', '27->18': '0.48300000', '28->9': '0.00000000', '28->18': '0.48400000'}"
2,"(9, 18)",7,214,probe_repair,"[40, 60, 65, 120, 125, 145, 150, 160, 170, 220, 235, 250, 300, 310, 365]",32,"[1, 5]",0.00000000,0.31762500,2->9,"{'2->9': '0.00000000', '2->18': '0.48400000', '4->9': '0.00000000', '4->18': '0.48400000', '6->9': '0.48500000', '6->18': '0.48300000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.00000000', '11->18': '0.48400000', '15->9': '0.00000000', '15->18': '0.48400000', '16->9': '0.48400000', '16->18': '0.00000000', '17->9': '0.48500000', '17->18': '0.48300000', '20->9': '0.48500000', '20->18': '0.48300000', '21->9': '0.48500000', '21->18': '0.48300000', '22->9': '0.00000000', '22->18': '0.48400000', '24->9': '0.48400000', '24->18': '0.00000000', '25->9': '0.00000000', '25->18': '0.48400000', '26->9': '0.48400000', '26->18': '0.00000000', '27->9': '0.48500000', '27->18': '0.48300000', '28->9': '0.00000000', '28->18': '0.48400000'}"
2,"(9, 18)",8,282,probe_repair,"[35, 45, 55, 100, 110, 130, 145, 160, 255, 270, 295, 330, 340, 350, 365]",32,"[1, 5]",0.00000000,0.31762500,4->9,"{'2->9': '0.48500000', '2->18': '0.48300000', '4->9': '0.00000000', '4->18': '0.48400000', '6->9': '0.48500000', '6->18': '0.48300000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.25800000', '11->18': '0.22600000', '15->9': '0.48500000', '15->18': '0.48300000', '16->9': '0.25800000', '16->18': '0.22600000', '17->9': '0.48500000', '17->18': '0.48300000', '20->9': '0.25800000', '20->18': '0.22600000', '21->9': '0.00000000', '21->18': '0.48400000', '22->9': '0.48400000', '22->18': '0.00000000', '24->9': '0.48400000', '24->18': '0.00000000', '25->9': '0.48500000', '25->18': '0.48300000', '26->9': '0.48400000', '26->18': '0.00000000', '27->9': '0.00000000', '27->18': '0.48400000', '28->9': '0.00000000', '28->18': '0.48400000'}"
2,"(9, 18)",9,223,probe_repair,"[30, 45, 50, 80, 105, 145, 190, 225, 240, 250, 255, 265, 310, 320, 360]",32,"[1, 5]",0.00000000,0.30250000,2->9,"{'2->9': '0.00000000', '2->18': '0.48400000', '4->9': '0.00000000', '4->18': '0.48400000', '6->9': '0.00000000', '6->18': '0.48400000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.48500000', '11->18': '0.48300000', '15->9': '0.48500000', '15->18': '0.48300000', '16->9': '0.48500000', '16->18': '0.48300000', '17->9': '0.48400000', '17->18': '0.00000000', '20->9': '0.00000000', '20->18': '0.48400000', '21->9': '0.00000000', '21->18': '0.48400000', '22->9': '0.00000000', '22->18': '0.48400000', '24->9': '0.00000000', '24->18': '0.48400000', '25->9': '0.00000000', '25->18': '0.48400000', '26->9': '0.48500000', '26->18': '0.48300000', '27->9': '0.00000000', '27->18': '0.48400000', '28->9': '0.00000000', '28->18': '0.48400000'}"
2,"(9, 18)",10,227,probe_repair,"[30, 45, 50, 80, 105, 145, 190, 225, 240, 250, 255, 265, 310, 320, 360]",32,"[1, 5]",0.00000000,0.30250000,2->9,"{'2->9': '0.00000000', '2->18': '0.48400000', '4->9': '0.48500000', '4->18': '0.48300000', '6->9': '0.00000000', '6->18': '0.48400000', '7->9': '0.00000000', '7->18': '0.48400000', '11->9': '0.48500000', '11->18': '0.48300000', '15->9': '0.48500000', '15->18': '0.48300000', '16->9': '0.48400000', '16->18': '0.00000000', '17->9': '0.48400000', '17->18': '0.00000000', '20->9': '0.00000000', '20->18': '0.48400000', '21->9': '0.48500000', '21->18': '0.48300000', '22->9': '0.48400000', '22->18': '0.00000000', '24->9': '0.22600000', '24->18': '0.25800000', '25->9': '0.00000000', '25->18': '0.48400000', '26->9': '0.48400000', '26->18': '0.00000000', '27->9': '0.00000000', '27->18': '0.48400000', '28->9': '0.00000000', '28->18': '0.48400000'}"
