k,real_k,effective_k,virtual_stream_count,target_effective_k,sample_index,position_combination,selected_candidate_count,common_route_count,excluded_illegal_positions,authorized_max_ber,authorized_position_bers,security_min_route_min_ber,security_avg_route_min_ber,worst_route,optimizer,usage_ratio,usage_counts,selected_candidate_ids,selected_probe_sets,anchor_candidate_id,anchor_source,anchor_min_route_min_ber,anchor_worst_route,security_gain_over_anchor,floor_applied,optimizer_diagnostic,weak_routes
4,4,8,4,8,1,"(8, 14, 22, 27)",20,28,[19],0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.44483850,0.46762508,21->14,linprog,"[0.00000000, 0.00000000, 0.00000000, 0.27246127, 0.00000000, 0.00000000, 0.11192889, 0.03986892, 0.00000000, 0.09748597, 0.00000000, 0.00000000, 0.00644608, 0.00000000, 0.00000000, 0.08147216, 0.14100804, 0.00000000, 0.00000000, 0.24932868]","[0, 0, 0, 272, 0, 0, 112, 40, 0, 98, 0, 0, 6, 0, 0, 82, 141, 0, 0, 249]","[112, 98, 108, 104, 102, 105, 152, 167, 77, 23, 66, 127, 73, 126, 117, 119, 99, 118, 100, 71]","[5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270] | [5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270] | [5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270] | [5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270] | [5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270] | [5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270] | [5, 25, 65, 110, 130, 165, 220, 240, 250, 265, 275, 285, 305, 330, 340] | [30, 50, 60, 70, 95, 100, 115, 120, 180, 185, 195, 205, 285, 315, 340] | [10, 25, 35, 50, 80, 95, 110, 160, 170, 205, 210, 215, 250, 285, 315] | [10, 40, 80, 120, 140, 155, 160, 190, 195, 225, 230, 250, 305, 315, 360] | [10, 25, 35, 50, 80, 95, 110, 160, 170, 205, 210, 215, 250, 285, 315] | [35, 40, 80, 90, 120, 145, 150, 160, 165, 180, 185, 190, 205, 220, 310] | [10, 25, 35, 50, 80, 95, 110, 160, 170, 205, 210, 215, 250, 285, 315] | [35, 40, 80, 90, 120, 145, 150, 160, 165, 180, 185, 190, 205, 220, 310] | [35, 40, 80, 90, 120, 145, 150, 160, 165, 180, 185, 190, 205, 220, 310] | [35, 40, 80, 90, 120, 145, 150, 160, 165, 180, 185, 190, 205, 220, 310] | [5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270] | [35, 40, 80, 90, 120, 145, 150, 160, 165, 180, 185, 190, 205, 220, 310] | [5, 45, 50, 70, 75, 115, 130, 135, 140, 155, 205, 235, 245, 250, 270] | [10, 25, 35, 50, 80, 95, 110, 160, 170, 205, 210, 215, 250, 285, 315]",112,anchor_worst_targeted,0.36200000,21->27,0.08283850,False,ok,"[21->27, 28->27, 16->22, 18->8, 3->27]"
4,4,8,4,8,2,"(11, 14, 16, 18)",20,28,[19],0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.43097659,0.46547132,8->18,linprog,"[0.00000000, 0.00000000, 0.00000000, 0.10132525, 0.13337859, 0.00000000, 0.00000000, 0.00000000, 0.21378344, 0.05113308, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.29901783, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.20136181]","[0, 0, 0, 101, 134, 0, 0, 0, 214, 51, 0, 0, 0, 0, 299, 0, 0, 0, 0, 201]","[60, 25, 58, 69, 61, 93, 116, 124, 126, 111, 118, 94, 68, 77, 89, 53, 67, 85, 59, 22]","[5, 10, 30, 70, 75, 105, 110, 245, 270, 285, 320, 330, 345, 355, 360] | [25, 70, 105, 110, 120, 125, 140, 145, 190, 215, 240, 275, 305, 335, 360] | [5, 10, 30, 70, 75, 105, 110, 245, 270, 285, 320, 330, 345, 355, 360] | [35, 100, 125, 135, 145, 150, 155, 170, 190, 215, 235, 255, 265, 345, 355] | [5, 10, 30, 70, 75, 105, 110, 245, 270, 285, 320, 330, 345, 355, 360] | [50, 60, 80, 105, 110, 130, 145, 185, 190, 215, 220, 265, 270, 280, 320] | [35, 65, 75, 95, 150, 165, 220, 245, 255, 275, 320, 325, 330, 340, 360] | [35, 65, 75, 95, 150, 165, 220, 245, 255, 275, 320, 325, 330, 340, 360] | [35, 65, 75, 95, 150, 165, 220, 245, 255, 275, 320, 325, 330, 340, 360] | [35, 85, 100, 135, 160, 165, 180, 185, 190, 195, 225, 240, 320, 330, 355] | [35, 65, 75, 95, 150, 165, 220, 245, 255, 275, 320, 325, 330, 340, 360] | [50, 60, 80, 105, 110, 130, 145, 185, 190, 215, 220, 265, 270, 280, 320] | [35, 100, 125, 135, 145, 150, 155, 170, 190, 215, 235, 255, 265, 345, 355] | [35, 100, 125, 135, 145, 150, 155, 170, 190, 215, 235, 255, 265, 345, 355] | [50, 60, 80, 105, 110, 130, 145, 185, 190, 215, 220, 265, 270, 280, 320] | [5, 10, 30, 70, 75, 105, 110, 245, 270, 285, 320, 330, 345, 355, 360] | [35, 100, 125, 135, 145, 150, 155, 170, 190, 215, 235, 255, 265, 345, 355] | [50, 60, 80, 105, 110, 130, 145, 185, 190, 215, 220, 265, 270, 280, 320] | [5, 10, 30, 70, 75, 105, 110, 245, 270, 285, 320, 330, 345, 355, 360] | [25, 70, 105, 110, 120, 125, 140, 145, 190, 215, 240, 275, 305, 335, 360]",60,anchor_worst_targeted,0.31500000,22->18,0.11597659,False,ok,"[22->18, 3->16, 26->14, 8->11, 28->14]"
4,4,8,4,8,3,"(11, 16, 21, 22)",20,24,"[14, 19]",0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.47318536,0.48155230,3->21,linprog,"[0.21654544, 0.00000000, 0.17715086, 0.10816650, 0.17639410, 0.01511918, 0.12978515, 0.00000000, 0.00000000, 0.00000000, 0.10616169, 0.00000000, 0.00000000, 0.00000000, 0.03582188, 0.00000000, 0.00000000, 0.03224144, 0.00000000, 0.00261376]","[217, 0, 177, 108, 176, 15, 130, 0, 0, 0, 106, 0, 0, 0, 36, 0, 0, 32, 0, 3]","[566, 576, 40, 562, 42, 713, 60, 34, 44, 147, 31, 707, 750, 573, 958, 508, 574, 303, 206, 570]","[5, 40, 50, 75, 80, 115, 120, 155, 160, 230, 265, 285, 290, 295, 325] | [5, 40, 50, 75, 80, 115, 120, 155, 160, 230, 265, 285, 290, 295, 325] | [5, 15, 30, 50, 125, 140, 145, 165, 175, 180, 210, 235, 250, 275, 310] | [5, 40, 50, 75, 80, 115, 120, 155, 160, 230, 265, 285, 290, 295, 325] | [5, 15, 30, 50, 125, 140, 145, 165, 175, 180, 210, 235, 250, 275, 310] | [10, 45, 110, 135, 165, 175, 180, 215, 225, 245, 260, 275, 285, 290, 345] | [5, 15, 30, 55, 105, 110, 170, 220, 230, 240, 250, 270, 310, 350, 355] | [5, 65, 80, 140, 145, 150, 170, 180, 200, 255, 265, 280, 305, 325, 360] | [5, 15, 30, 50, 125, 140, 145, 165, 175, 180, 210, 235, 250, 275, 310] | [35, 70, 75, 100, 105, 120, 145, 200, 220, 230, 280, 285, 305, 335, 350] | [5, 65, 80, 140, 145, 150, 170, 180, 200, 255, 265, 280, 305, 325, 360] | [10, 45, 110, 135, 165, 175, 180, 215, 225, 245, 260, 275, 285, 290, 345] | [20, 50, 55, 90, 100, 110, 115, 210, 220, 230, 235, 275, 285, 290, 315] | [5, 40, 50, 75, 80, 115, 120, 155, 160, 230, 265, 285, 290, 295, 325] | [35, 55, 125, 145, 155, 170, 180, 190, 205, 260, 265, 270, 285, 305, 330] | [15, 40, 50, 65, 100, 120, 140, 150, 165, 190, 215, 220, 255, 270, 360] | [5, 40, 50, 75, 80, 115, 120, 155, 160, 230, 265, 285, 290, 295, 325] | [35, 65, 75, 105, 115, 125, 130, 170, 180, 185, 235, 255, 280, 315, 325] | [15, 25, 45, 55, 80, 110, 115, 165, 220, 240, 245, 250, 275, 280, 360] | [5, 40, 50, 75, 80, 115, 120, 155, 160, 230, 265, 285, 290, 295, 325]",566,anchor_worst_targeted,0.41100000,8->21,0.06218536,False,ok,"[8->21, 27->16, 26->16, 18->16, 27->11]"
4,4,8,4,8,4,"(8, 11, 19, 22)",20,28,[14],0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.46475334,0.47652978,16->8,linprog,"[0.00000000, 0.17506527, 0.15047685, 0.00000000, 0.06389782, 0.01899890, 0.04368706, 0.09677402, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.19648310, 0.00000000, 0.13629149, 0.00000000, 0.11832548]","[0, 175, 150, 0, 64, 19, 44, 97, 0, 0, 0, 0, 0, 0, 0, 197, 0, 136, 0, 118]","[346, 338, 373, 345, 349, 351, 56, 353, 179, 368, 178, 382, 47, 329, 381, 102, 342, 384, 372, 347]","[5, 10, 35, 55, 65, 120, 180, 195, 210, 260, 290, 315, 320, 330, 360] | [5, 10, 35, 55, 65, 120, 180, 195, 210, 260, 290, 315, 320, 330, 360] | [30, 90, 95, 115, 130, 135, 140, 150, 205, 215, 225, 260, 275, 305, 335] | [5, 10, 35, 55, 65, 120, 180, 195, 210, 260, 290, 315, 320, 330, 360] | [5, 10, 35, 55, 65, 120, 180, 195, 210, 260, 290, 315, 320, 330, 360] | [5, 10, 35, 55, 65, 120, 180, 195, 210, 260, 290, 315, 320, 330, 360] | [5, 35, 70, 80, 90, 100, 170, 195, 205, 270, 290, 300, 315, 320, 355] | [15, 25, 65, 105, 145, 180, 195, 200, 210, 235, 240, 285, 305, 330, 340] | [30, 55, 65, 95, 100, 110, 115, 170, 185, 225, 230, 250, 260, 325, 360] | [15, 25, 65, 105, 145, 180, 195, 200, 210, 235, 240, 285, 305, 330, 340] | [30, 55, 65, 95, 100, 110, 115, 170, 185, 225, 230, 250, 260, 325, 360] | [30, 90, 95, 115, 130, 135, 140, 150, 205, 215, 225, 260, 275, 305, 335] | [5, 10, 45, 70, 75, 90, 100, 110, 140, 150, 155, 210, 220, 250, 345] | [5, 30, 45, 55, 65, 80, 95, 145, 180, 200, 225, 240, 255, 270, 350] | [30, 90, 95, 115, 130, 135, 140, 150, 205, 215, 225, 260, 275, 305, 335] | [15, 20, 50, 65, 85, 120, 155, 170, 220, 240, 260, 275, 280, 290, 310] | [5, 10, 35, 55, 65, 120, 180, 195, 210, 260, 290, 315, 320, 330, 360] | [30, 90, 95, 115, 130, 135, 140, 150, 205, 215, 225, 260, 275, 305, 335] | [30, 90, 95, 115, 130, 135, 140, 150, 205, 215, 225, 260, 275, 305, 335] | [5, 10, 35, 55, 65, 120, 180, 195, 210, 260, 290, 315, 320, 330, 360]",346,anchor_worst_targeted,0.37500000,21->22,0.08975334,False,ok,"[21->22, 3->8, 18->11, 28->11, 26->19]"
4,4,8,4,8,5,"(3, 14, 18, 26)",20,28,[19],0.00000000,"[0.00000000, 0.00000000, 0.00000000, 0.00000000]",0.44057368,0.46191262,21->14,linprog,"[0.00000000, 0.16234537, 0.00000000, 0.00000000, 0.17208598, 0.05374130, 0.00000000, 0.00000000, 0.21813933, 0.10851542, 0.00000000, 0.00000000, 0.08333186, 0.00000000, 0.14804385, 0.05379690, 0.00000000, 0.00000000, 0.00000000, 0.00000000]","[0, 162, 0, 0, 172, 54, 0, 0, 218, 109, 0, 0, 83, 0, 148, 54, 0, 0, 0, 0]","[111, 73, 103, 87, 106, 90, 59, 49, 15, 70, 20, 138, 91, 62, 26, 164, 84, 89, 100, 94]","[5, 40, 45, 50, 60, 95, 115, 140, 160, 230, 240, 280, 315, 320, 340] | [40, 60, 85, 90, 95, 125, 145, 155, 180, 220, 285, 305, 310, 355, 360] | [5, 40, 45, 50, 60, 95, 115, 140, 160, 230, 240, 280, 315, 320, 340] | [55, 65, 80, 100, 110, 130, 135, 155, 160, 170, 230, 250, 255, 305, 320] | [5, 40, 45, 50, 60, 95, 115, 140, 160, 230, 240, 280, 315, 320, 340] | [55, 65, 80, 100, 110, 130, 135, 155, 160, 170, 230, 250, 255, 305, 320] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355] | [40, 60, 85, 90, 95, 125, 145, 155, 180, 220, 285, 305, 310, 355, 360] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355] | [5, 40, 75, 80, 95, 140, 180, 190, 195, 240, 245, 275, 310, 330, 360] | [55, 65, 80, 100, 110, 130, 135, 155, 160, 170, 230, 250, 255, 305, 320] | [5, 30, 55, 80, 105, 130, 155, 180, 205, 230, 255, 280, 305, 330, 355] | [10, 70, 90, 100, 105, 115, 140, 170, 205, 235, 295, 310, 320, 325, 330] | [25, 35, 45, 75, 100, 120, 135, 205, 220, 240, 270, 275, 280, 285, 320] | [55, 65, 80, 100, 110, 130, 135, 155, 160, 170, 230, 250, 255, 305, 320] | [55, 65, 80, 100, 110, 130, 135, 155, 160, 170, 230, 250, 255, 305, 320] | [5, 40, 45, 50, 60, 95, 115, 140, 160, 230, 240, 280, 315, 320, 340] | [55, 65, 80, 100, 110, 130, 135, 155, 160, 170, 230, 250, 255, 305, 320]",111,anchor_worst_targeted,0.29400000,21->18,0.14657368,False,ok,"[21->18, 22->14, 11->26, 8->18, 27->26]"
