hsv1[0],hsv2[0],hsv3[0],hsv4[0]
2,2,4,4
6,8,8,8
8,8,10,8
12,14,14,14
12,18,16,22
18,24,24,28
22,26,26,26
24,32,32,32
28,34,32,36
28,38,38,38
32,48,48,46
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
-1,-1,-1,-1
56,80,82,82
72,84,86,86
80,88,88,88
90,94,94,94
94,98,100,100
98,102,102,104
106,108,104,108
106,110,110,110
110,112,112,110
110,114,110,112
112,114,112,112
114,120,118,118
118,120,122,120
126,126,124,124
132,130,128,126
132,130,138,130
136,136,138,130
142,142,142,136
160,144,152,140
168,146,164,142
182,170,182,160
196,182,192,178
202,198,202,190
208,206,208,202
218,216,218,208
222,224,224,218
232,230,230,224
236,230,234,230
236,236,236,234
238,240,240,240
238,238,238,240
240,240,240,242
242,240,240,242
242,240,244,248
246,242,246,246
246,246,246,248
250,250,248,250
252,250,252,254
260,260,260,260
264,266,264,266
278,274,272,276
288,284,278,290
292,288,286,296
300,296,288,304
308,308,300,310
318,314,308,316
320,318,314,322
328,326,320,328
332,334,326,334
338,336,334,340
340,342,342,346
346,350,350,350
354,354,350,354
358,358,358,0
358,358,0,0
2,4,2,2
2,4,4,4
4,4,4,8
