hsv1[0],hsv2[0],hsv3[0],hsv4[0]
358,0,4,16
2,8,8,16
0,16,8,24
4,16,16,26
8,22,12,24
8,24,16,32
12,26,26,32
16,32,34,42
24,42,40,48
26,48,40,56
28,66,48,60
38,72,52,70
32,70,56,68
46,82,70,68
48,82,72,80
52,90,80,82
70,108,84,90
70,102,90,90
90,108,96,94
104,110,110,100
104,118,110,104
104,118,114,106
116,118,114,110
114,118,114,112
118,122,114,112
118,126,116,112
118,128,120,118
122,128,122,118
126,130,122,118
132,126,126,118
140,130,126,118
146,138,126,118
152,134,130,118
158,134,140,102
172,148,144,108
196,154,158,138
212,178,180,128
218,186,196,148
226,200,208,158
228,206,216,160
232,212,228,206
236,228,232,222
234,224,238,212
240,230,240,240
242,234,242,240
244,234,240,240
238,240,246,240
244,244,244,240
244,240,250,240
244,240,250,250
244,246,250,240
250,246,250,248
250,246,250,248
254,246,254,256
256,246,262,258
264,250,266,270
272,264,280,292
282,280,290,312
294,282,306,316
308,316,318,342
316,314,324,348
324,324,340,350
332,332,340,10
344,338,344,10
340,338,346,4
336,348,344,0
344,354,356,0
346,356,354,6
352,6,0,10
354,6,8,10
0,6,0,18
0,2,4,8
0,0,4,8
