hsv1[0],hsv2[0],hsv3[0],hsv4[0]
8,10,14,20
4,12,10,18
4,8,10,16
4,10,12,20
8,12,14,20
8,18,20,26
12,22,24,34
14,24,26,36
18,32,32,46
20,36,36,50
20,38,42,58
32,46,54,72
34,62,64,76
40,70,70,82
44,72,70,82
42,70,72,88
66,82,80,90
66,84,82,88
72,88,86,90
90,90,90,94
98,98,92,100
106,100,92,100
108,106,94,100
112,110,96,102
110,106,94,100
114,104,94,98
118,106,98,104
114,108,98,104
120,110,102,102
122,118,106,108
132,116,110,110
134,120,114,114
148,128,126,112
156,136,128,116
156,136,142,116
182,146,160,122
194,166,184,136
204,176,200,132
212,190,208,144
218,204,220,156
216,204,216,168
218,214,216,170
222,216,224,188
222,224,228,192
224,226,228,200
232,232,246,200
234,236,248,260
238,238,250,248
230,234,244,232
236,236,246,252
246,244,254,12
248,250,258,274
250,250,260,288
258,254,258,266
272,270,266,308
284,276,274,306
296,294,290,318
314,306,294,328
322,322,302,342
328,326,318,340
340,338,326,348
342,342,334,358
352,350,348,2
354,356,350,6
352,354,354,4
350,354,354,6
352,354,356,4
354,0,358,6
354,358,358,6
358,0,0,10
0,6,4,12
-1,-1,-1,-1
4,6,10,12
