hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,6,8,8
2,4,6,10
2,10,6,12
4,10,10,12
8,14,14,14
8,22,22,18
14,26,22,22
14,32,24,22
16,38,30,26
16,40,30,24
18,46,30,30
22,54,42,34
28,64,50,42
32,74,62,50
38,78,70,56
44,88,72,66
50,90,80,70
60,94,90,76
72,98,90,82
80,104,96,84
94,106,96,92
96,110,98,94
98,114,106,100
104,114,106,98
104,114,104,100
104,114,106,100
110,114,106,106
120,120,112,106
126,124,116,108
136,126,122,110
142,128,128,110
152,130,128,110
160,132,130,116
180,138,138,122
192,142,152,128
208,150,168,138
216,168,186,158
220,176,192,168
224,188,202,182
228,202,212,198
232,204,220,204
232,212,224,214
236,216,226,216
236,222,228,224
238,226,236,232
240,230,236,234
240,232,236,232
238,230,236,238
242,230,236,238
242,230,242,242
244,236,246,246
248,238,244,250
248,242,250,252
256,250,252,268
260,252,258,276
268,264,266,294
278,270,276,314
284,280,290,320
296,294,298,328
304,310,310,338
314,322,316,342
324,326,326,348
328,334,334,354
334,340,340,356
340,346,348,0
344,348,352,0
348,358,350,0
352,352,352,0
352,356,0,4
354,358,0,8
358,2,0,8
0,2,4,8
0,2,4,8
