hsv1[0],hsv2[0],hsv3[0],hsv4[0]
8,12,14,10
10,12,12,10
12,12,18,18
14,16,20,18
18,22,22,22
18,24,24,26
18,24,26,24
20,28,26,30
20,32,28,34
22,34,30,34
24,44,40,44
30,58,58,58
30,70,70,70
36,74,74,74
50,82,82,82
58,86,84,86
60,90,88,90
70,94,94,94
80,102,102,102
90,106,108,110
96,110,112,110
100,114,110,114
102,112,112,112
104,116,116,116
104,114,116,114
104,116,116,116
110,118,118,118
112,120,120,120
114,126,126,124
128,128,130,128
138,132,138,130
140,132,140,134
146,138,142,140
154,146,152,144
160,148,156,150
176,164,176,164
190,178,192,176
198,194,196,186
208,206,208,200
220,212,218,212
224,222,224,222
228,224,226,224
234,228,232,232
234,236,234,234
238,238,236,236
238,240,238,238
238,242,238,240
242,240,238,242
242,242,242,240
242,242,242,242
242,246,242,242
246,246,244,250
250,250,248,250
256,254,250,254
262,262,258,262
274,274,266,272
300,290,272,280
306,300,278,294
312,302,292,300
316,312,300,312
322,318,310,318
328,322,318,326
330,328,328,330
336,334,332,338
340,340,340,340
342,342,344,342
350,348,350,346
354,358,354,354
358,356,358,356
0,4,6,4
8,6,8,4
6,12,8,10
6,12,10,10
