hsv1[0],hsv2[0],hsv3[0],hsv4[0]
4,8,6,6
4,8,4,6
4,4,10,8
6,6,12,14
8,12,16,16
12,14,18,20
12,18,22,22
10,22,26,34
14,28,32,36
16,30,36,38
20,36,44,52
20,38,44,52
-1,-1,-1,-1
30,56,68,74
38,62,70,80
46,70,80,88
52,80,88,92
66,84,88,98
80,92,94,102
96,98,100,104
104,104,106,108
112,104,108,110
112,106,112,112
120,106,110,114
118,110,114,116
118,110,112,114
122,112,114,120
124,116,114,120
128,116,118,122
138,120,126,124
150,120,134,124
150,126,136,128
150,134,138,130
160,134,142,136
170,142,154,138
184,152,172,144
196,168,186,154
200,176,198,160
204,188,206,174
214,204,214,186
218,210,222,202
218,216,224,210
222,216,226,210
224,224,230,216
230,224,234,222
232,230,238,228
232,224,238,228
230,234,240,232
232,234,244,232
230,234,244,234
236,238,244,238
244,242,242,242
248,250,250,246
260,260,254,260
270,268,262,270
278,272,260,274
290,284,268,280
302,296,278,298
316,314,284,316
326,324,302,324
332,332,312,332
338,340,324,340
340,340,328,340
344,344,334,346
348,348,340,348
350,352,346,348
352,356,352,358
352,356,350,356
358,356,358,0
0,0,2,0
0,0,0,2
4,4,6,4
0,6,6,4
