hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,4,4,6
0,6,4,8
0,6,6,12
4,10,12,16
4,14,14,18
10,16,20,24
10,22,22,30
12,22,26,34
14,30,30,44
16,32,32,46
20,38,40,58
28,48,54,70
32,60,64,78
38,68,70,82
48,72,80,88
54,82,84,92
70,86,88,96
84,92,94,98
100,98,100,102
106,106,102,108
108,110,102,108
124,110,110,110
122,112,106,110
120,110,110,110
122,112,110,110
128,114,112,112
132,116,116,114
134,120,122,116
138,126,126,116
148,130,132,118
154,130,134,120
156,132,138,124
162,142,146,128
160,140,148,124
168,144,154,130
182,158,170,140
194,172,188,146
202,182,196,152
208,194,206,156
212,204,214,174
216,210,218,184
218,216,222,200
222,220,226,208
226,226,228,216
228,230,234,228
234,234,242,232
236,238,244,242
238,238,246,246
240,238,248,250
240,240,248,248
244,244,250,250
248,250,252,252
254,250,256,260
258,258,258,266
268,266,264,270
282,276,268,282
294,286,278,298
306,300,286,312
318,310,296,322
322,322,304,328
332,328,316,336
334,334,324,340
340,340,330,348
344,346,338,354
346,348,342,354
350,350,346,356
350,350,348,354
352,352,354,0
352,358,354,0
356,0,358,6
358,358,2,6
358,0,4,4
358,0,4,4
