hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,4,6,4
0,4,6,6
4,6,10,6
4,8,12,12
4,16,12,10
6,26,18,14
12,26,22,16
8,26,22,18
10,30,24,22
12,38,28,24
16,46,32,30
16,52,34,34
24,66,40,38
26,74,52,48
28,76,54,54
36,84,66,64
46,88,72,72
46,92,72,80
54,100,84,84
70,102,88,92
86,108,90,96
90,108,92,100
92,108,94,100
102,108,100,106
100,108,102,104
104,110,102,104
108,110,96,106
118,114,108,110
108,118,102,110
136,122,118,114
138,122,114,118
150,126,112,124
160,126,118,126
180,138,128,130
192,140,140,130
208,148,166,146
222,158,178,156
224,172,200,174
226,184,210,184
232,192,220,202
232,200,224,210
236,210,228,212
236,218,232,222
236,222,230,222
240,224,236,222
242,228,238,224
240,220,246,232
240,226,248,230
244,228,246,230
242,222,250,230
246,228,252,230
250,230,250,244
252,240,256,254
260,250,260,264
262,250,266,270
272,264,274,280
284,276,282,310
292,288,294,316
304,306,306,324
316,316,316,334
320,322,328,340
330,332,334,342
336,342,340,348
342,342,350,354
346,346,352,358
348,352,356,358
352,358,356,0
354,0,4,2
354,0,4,0
358,358,6,2
0,2,4,4
2,2,6,4
4,4,6,2
