hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,356,350,0
352,2,352,0
352,0,354,0
352,2,356,2
354,4,0,4
354,6,4,12
0,10,8,16
2,12,10,20
4,20,18,24
0,22,20,36
0,24,20,32
4,24,22,40
10,30,28,48
8,28,28,48
16,42,40,66
18,54,48,72
26,58,54,76
32,72,68,90
42,74,72,90
42,86,74,92
86,100,94,104
90,100,92,106
118,104,94,106
122,110,102,110
120,114,104,102
126,118,118,108
134,118,112,116
132,116,112,110
140,114,106,112
154,120,118,114
158,122,128,110
148,130,126,126
160,128,142,118
162,138,142,118
174,136,148,122
164,144,148,134
170,150,162,140
190,156,184,134
200,170,200,148
210,186,208,152
218,206,210,180
222,210,228,184
238,228,234,210
236,232,248,228
238,232,244,232
246,240,252,250
242,246,258,254
244,248,256,254
250,242,256,266
248,248,258,264
252,250,262,272
262,266,262,280
274,274,278,294
288,294,282,318
306,306,290,324
314,320,306,324
324,324,314,338
328,328,316,336
332,334,326,338
336,336,328,336
336,340,330,340
336,342,332,338
340,342,332,342
342,346,336,342
342,348,338,344
344,350,342,350
344,350,342,348
346,350,344,348
348,352,346,352
348,354,348,354
350,356,348,352
350,354,350,354
350,356,352,352
