hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,352,354,358
350,352,350,354
352,354,356,358
350,354,356,2
354,358,358,4
356,2,356,6
354,6,2,12
358,10,4,14
0,16,8,12
2,18,10,22
4,28,16,28
2,36,18,36
8,40,24,36
8,50,28,40
18,70,46,58
20,76,48,64
28,86,64,72
38,94,70,80
46,100,74,92
52,106,86,92
66,110,100,96
86,116,104,104
88,118,102,102
90,118,112,112
100,122,108,108
100,122,102,110
114,124,120,106
114,132,110,110
114,134,118,114
114,134,120,106
142,134,120,118
144,140,132,116
158,142,130,132
162,142,138,124
180,144,132,120
186,150,138,134
200,160,154,132
202,158,148,138
226,178,180,154
230,190,202,162
236,206,220,166
244,216,232,190
244,222,234,230
250,232,250,220
250,232,246,238
250,236,254,248
250,244,262,246
250,248,254,246
250,248,262,250
252,248,250,246
258,252,264,260
262,256,270,276
274,262,280,282
284,270,286,294
292,284,302,314
306,286,312,326
314,304,320,326
318,312,322,330
322,320,324,334
326,322,330,334
328,328,330,340
330,328,332,340
334,332,332,344
336,332,338,348
340,336,340,346
340,340,344,348
342,340,338,352
346,344,342,350
346,342,344,354
346,344,344,354
350,350,346,356
350,352,350,356
350,352,350,356
