hsv1[0],hsv2[0],hsv3[0],hsv4[0]
356,4,0,2
352,0,358,0
356,4,356,2
358,8,2,0
358,10,8,6
0,16,4,12
2,20,14,14
4,30,18,18
8,36,20,20
12,40,24,26
14,52,34,30
22,60,40,40
28,70,52,50
34,78,62,56
38,86,70,70
48,90,82,74
56,96,86,84
68,100,94,88
84,106,98,98
84,108,106,100
94,114,104,108
100,116,112,114
110,118,118,116
114,116,122,118
112,120,114,118
124,122,122,118
126,126,130,126
140,128,132,130
160,134,144,134
168,138,146,136
176,140,144,140
182,140,152,140
194,146,160,148
202,152,168,158
210,160,180,162
218,172,200,176
222,184,202,190
224,190,206,194
226,198,218,206
232,206,224,208
232,214,226,218
236,216,234,224
238,222,232,226
238,228,234,226
240,230,234,232
238,230,236,232
238,232,236,230
240,234,240,232
242,234,240,236
244,236,240,236
244,236,244,238
248,238,246,244
252,246,250,248
258,250,256,260
268,260,264,276
280,274,276,292
284,282,282,306
294,298,292,318
300,306,304,324
308,316,310,328
312,318,314,330
316,326,324,336
322,334,326,340
328,340,330,344
332,344,338,348
338,346,344,350
340,350,346,352
346,352,350,354
346,354,352,354
348,354,350,356
348,354,356,356
352,356,356,358
352,356,356,358
