hsv1[0],hsv2[0],hsv3[0],hsv4[0]
4,0,4,4
8,6,6,4
8,2,8,6
12,10,10,8
14,14,16,8
16,10,16,8
20,14,18,14
26,22,32,16
34,30,30,26
40,32,40,28
50,40,44,38
58,50,54,44
70,60,70,58
80,74,78,70
84,82,82,76
92,88,88,90
96,96,96,92
98,100,102,100
106,106,106,104
108,114,114,114
112,118,116,122
114,122,116,124
114,124,120,126
-1,-1,-1,-1
118,122,120,124
116,130,124,126
120,132,126,126
124,134,128,136
126,136,132,136
134,140,134,138
134,144,134,140
134,138,136,138
138,142,144,138
144,148,142,144
148,150,148,148
164,164,156,158
180,180,172,174
190,188,182,184
196,196,190,188
208,204,200,198
212,208,206,206
220,216,214,210
222,222,218,216
228,224,224,220
232,230,224,222
234,232,226,226
236,234,232,226
236,234,234,232
234,234,234,224
234,234,234,232
234,234,234,234
238,238,236,232
242,244,238,244
248,250,248,242
252,252,254,260
260,264,264,270
270,276,278,282
274,282,284,294
284,294,294,308
296,306,308,320
306,316,312,324
314,324,320,332
318,326,328,340
326,334,334,342
332,340,340,346
342,342,348,356
350,352,350,358
350,354,354,358
356,356,356,2
358,0,0,2
356,356,358,2
0,6,2,6
4,2,4,4
