hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,358,356,358
352,0,358,358
352,358,358,0
356,2,0,4
354,4,0,6
356,6,6,10
0,10,10,16
2,12,16,24
0,18,20,30
6,22,26,40
10,28,32,48
12,32,38,58
22,44,54,70
36,56,70,80
36,68,72,86
50,72,80,94
70,80,90,102
72,90,92,102
94,98,104,106
114,102,106,112
126,112,114,116
134,112,116,114
128,118,118,116
140,118,120,120
138,114,122,118
138,124,128,120
144,124,132,124
146,130,130,128
152,132,140,126
154,134,144,130
154,142,146,128
156,138,148,134
160,142,156,132
166,148,160,142
174,156,164,142
178,166,180,148
188,178,192,160
194,188,196,166
198,192,204,172
206,206,212,182
214,214,214,184
218,220,224,204
218,222,224,208
226,228,230,220
228,232,234,224
232,234,238,226
232,238,236,234
230,234,236,232
232,238,240,230
232,238,240,230
234,240,244,232
238,244,240,238
244,246,246,244
252,254,254,252
264,262,260,264
276,274,266,270
290,286,276,286
302,292,284,294
314,308,292,316
318,314,300,314
322,322,306,326
326,328,314,328
332,332,320,334
336,336,326,342
340,338,328,342
340,342,330,344
342,348,336,346
344,348,340,350
350,350,348,352
350,352,350,350
350,356,352,356
350,358,354,356
352,358,352,356
