hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,8,0,12
358,12,4,14
0,18,10,18
4,22,16,28
6,24,20,34
10,30,26,44
16,34,34,56
20,42,44,60
22,46,52,70
26,52,56,72
36,60,68,78
46,70,76,86
62,78,84,94
70,82,86,96
78,90,92,102
78,88,92,102
88,94,98,108
96,98,102,118
106,106,110,118
126,116,118,118
130,118,118,118
132,118,118,116
134,118,118,118
134,118,120,118
132,118,118,118
136,118,122,118
140,118,130,118
144,122,136,118
144,130,140,118
148,134,144,126
150,140,148,130
152,142,150,130
158,144,152,134
164,150,156,136
168,154,164,142
176,162,172,146
186,170,180,152
190,176,188,156
196,184,192,162
204,194,202,166
210,204,210,174
214,214,220,190
220,222,226,196
228,224,230,210
234,232,232,222
240,242,240,224
242,242,246,226
238,244,244,236
240,244,246,234
240,246,244,238
242,248,248,238
250,252,250,238
252,256,256,246
262,266,258,254
266,272,264,262
278,276,270,274
286,282,276,286
294,292,280,292
302,298,286,300
308,308,290,316
318,314,298,320
320,318,306,328
324,322,310,332
328,330,318,336
332,330,320,344
334,336,328,346
336,340,332,350
336,344,334,352
342,346,340,352
344,350,342,2
350,356,350,4
350,358,350,10
354,0,358,4
