hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,0,0,8
352,0,358,12
354,4,4,12
354,10,4,18
0,12,8,24
8,22,12,30
6,30,24,38
2,48,28,48
10,64,38,62
24,68,44,66
22,72,54,70
32,84,70,76
44,88,76,86
50,96,86,94
54,100,90,94
68,108,102,100
72,110,102,106
76,114,104,108
84,120,110,114
94,126,118,114
102,134,124,118
106,134,126,118
112,134,124,122
108,134,128,122
116,136,126,122
112,136,126,124
118,136,126,124
128,140,132,126
134,142,136,126
140,146,136,130
150,148,144,132
146,148,144,134
158,150,146,134
170,152,148,138
184,156,156,140
202,164,162,146
212,168,172,152
224,176,180,154
228,184,186,160
234,198,206,174
240,206,214,188
244,216,224,202
248,222,232,210
250,228,234,228
252,232,238,222
256,236,242,228
256,238,242,230
256,242,244,238
254,240,244,228
256,244,246,232
256,243,249,233
262,246,248,242
264,250,250,246
266,254,258,252
272,258,262,260
276,266,270,270
286,272,280,280
288,278,290,288
296,282,292,300
302,292,302,316
308,298,308,320
312,304,316,326
318,312,322,332
322,318,324,342
326,322,326,344
330,328,334,348
332,334,340,356
336,338,344,2
342,346,344,4
348,350,350,10
350,354,358,8
352,358,354,12
354,0,358,8
