hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,10,4,10
356,14,4,10
356,16,10,18
2,22,14,22
6,28,22,28
10,30,28,44
14,38,36,52
14,36,38,54
14,44,44,64
22,48,52,70
26,50,60,74
36,60,68,80
46,70,76,88
62,78,84,94
70,82,86,98
78,88,92,104
88,92,98,108
96,96,100,118
112,106,110,118
124,118,118,118
136,118,118,118
138,118,118,118
136,116,118,116
136,118,118,116
136,118,118,116
136,118,118,118
142,118,126,116
142,124,134,118
148,132,138,118
154,136,146,130
150,140,148,130
154,142,148,132
158,146,150,136
162,150,156,138
166,152,162,140
176,160,170,146
182,170,176,150
190,174,186,156
194,184,192,160
202,194,200,164
206,200,210,174
214,214,220,188
214,224,226,200
222,226,234,210
232,230,238,216
234,236,242,228
236,242,246,232
234,242,244,238
236,242,248,234
234,242,246,238
240,248,250,236
246,252,254,238
254,256,254,246
258,264,260,252
268,270,264,266
280,276,270,278
288,286,274,286
298,294,282,298
306,302,286,308
316,310,294,316
318,316,300,320
322,320,308,326
328,326,312,330
330,328,318,340
334,332,326,344
336,336,328,348
340,342,334,350
344,346,338,358
344,350,342,2
348,352,352,6
352,0,354,4
352,4,2,4
354,4,356,8
