hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,6,2,10
352,10,4,10
354,16,12,16
354,14,10,12
356,22,12,16
0,24,16,20
2,28,20,22
6,40,30,30
4,40,28,26
4,46,24,28
6,52,26,34
18,58,42,40
22,62,50,44
26,70,56,52
36,76,70,62
44,84,78,70
58,86,82,78
70,92,88,86
72,96,96,90
84,102,102,96
94,104,102,98
106,114,112,106
116,118,110,110
112,122,118,112
116,124,122,120
124,128,114,114
128,128,118,116
128,130,118,116
136,134,120,116
140,136,120,126
146,134,130,120
156,138,136,124
160,138,136,130
164,142,136,130
170,144,136,132
176,146,138,136
190,148,148,136
190,150,146,136
212,152,160,144
220,156,176,148
226,162,180,146
236,174,204,152
240,188,220,174
244,200,244,202
250,212,244,206
250,220,248,222
250,234,254,240
254,232,264,250
258,230,266,256
260,244,266,254
262,250,274,272
270,262,280,286
276,272,296,320
286,298,312,336
298,312,318,338
306,320,326,342
314,330,336,346
318,332,334,348
322,332,334,346
324,336,342,348
326,340,340,348
328,342,340,350
332,348,346,356
332,346,346,356
336,350,350,358
338,354,358,0
340,354,352,0
340,356,358,0
346,0,358,4
346,2,2,6
348,6,2,8
348,4,4,10
350,8,6,10
