hsv1[0],hsv2[0],hsv3[0],hsv4[0]
346,14,358,8
350,18,2,14
354,20,4,16
2,22,8,20
358,20,12,22
358,26,18,32
4,32,20,34
6,36,28,40
14,38,34,50
12,42,40,56
18,46,46,58
18,48,52,64
24,52,62,70
28,60,68,74
40,70,80,84
56,78,86,90
64,84,92,96
82,88,102,104
88,92,106,108
96,100,112,118
116,106,118,118
132,118,132,118
140,118,134,118
140,118,134,118
140,118,134,118
142,118,136,118
144,118,136,118
142,118,140,118
146,124,142,120
150,126,144,126
150,134,148,130
156,138,150,130
158,138,150,136
162,140,154,132
158,142,152,136
166,144,158,138
172,148,160,142
174,150,166,144
182,158,172,150
190,166,182,154
194,174,190,160
202,178,202,168
212,196,214,182
218,210,222,198
228,218,228,202
234,224,232,206
232,224,232,208
234,228,242,214
238,226,238,210
238,236,240,222
240,238,242,226
250,246,246,236
262,262,252,250
274,284,260,248
288,294,270,294
304,308,282,314
312,320,294,324
318,326,308,328
322,332,312,334
326,334,320,336
328,336,322,332
330,340,326,340
332,344,328,342
334,350,334,348
336,350,334,352
336,354,342,350
340,358,346,4
340,2,346,356
344,6,348,4
346,8,352,4
350,14,352,4
352,14,354,4
352,14,358,10
