hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,358,354,358
356,0,356,2
356,2,4,2
0,6,8,8
0,8,8,12
358,10,12,18
2,16,16,24
8,20,24,34
10,26,28,40
10,28,34,46
16,36,42,58
20,44,52,68
28,54,66,80
32,60,70,86
46,72,76,92
58,80,86,96
70,86,92,100
86,94,98,106
106,106,108,114
116,110,116,116
120,114,120,118
130,120,122,122
134,122,124,122
138,122,126,122
136,124,126,124
140,126,132,124
144,132,136,126
146,132,138,128
150,136,144,130
156,140,150,132
154,138,148,132
160,144,150,134
160,146,152,136
170,152,164,138
174,158,168,144
186,170,182,150
194,182,192,160
198,190,198,166
-1,-1,-1,-1
206,204,208,186
212,210,212,196
214,216,218,204
220,222,220,212
222,224,224,216
224,226,226,216
224,228,230,222
228,232,232,228
230,234,232,228
230,234,234,232
230,234,234,230
230,238,236,234
238,244,240,236
244,248,246,244
256,256,250,250
264,266,258,260
278,274,266,272
292,288,276,288
298,296,282,294
308,306,290,306
318,314,298,316
322,320,306,324
326,326,314,330
332,330,318,334
334,332,324,338
340,338,330,340
340,342,334,344
346,346,338,348
348,348,342,350
348,354,348,352
352,354,348,356
354,356,352,356
352,358,354,0
354,0,356,358
