hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,344,350,346
352,344,346,348
356,348,346,354
0,354,356,356
8,0,0,2
24,0,4,12
38,8,16,18
52,22,20,28
62,26,30,32
70,30,36,40
78,38,44,48
84,52,56,56
92,60,70,72
100,74,82,78
100,84,88,84
108,92,94,92
114,100,100,96
114,104,104,104
118,110,112,102
122,116,122,110
128,120,122,114
128,124,126,122
128,128,130,120
132,124,128,122
132,130,132,120
130,132,130,122
132,136,132,126
136,140,132,128
138,144,134,132
138,146,138,138
138,154,140,144
140,154,140,146
140,160,142,146
146,164,150,156
150,172,152,160
154,184,160,174
162,194,166,184
168,204,174,194
174,210,184,202
182,216,192,214
192,222,200,218
202,224,212,228
210,232,216,230
218,236,222,234
222,236,228,236
230,236,232,236
232,240,238,240
232,238,238,242
232,240,240,242
234,238,240,240
234,242,238,242
238,244,244,246
236,248,248,244
244,248,254,250
250,250,260,254
260,260,272,262
266,264,284,270
274,270,292,274
284,276,304,282
296,286,312,290
306,294,314,300
308,298,318,308
318,310,324,314
324,314,330,320
332,320,332,324
332,324,334,330
334,328,336,336
340,332,340,340
340,336,340,340
344,340,342,344
344,342,344,348
346,344,346,350
350,346,348,350
