hsv1[0],hsv2[0],hsv3[0],hsv4[0]
356,356,358,4
356,356,356,4
358,0,0,6
0,4,6,10
0,10,10,14
2,16,10,20
4,20,14,26
6,30,20,32
10,38,22,38
12,46,28,42
16,54,32,50
22,68,44,60
24,78,54,70
26,84,62,74
30,92,70,80
40,96,76,88
44,102,82,88
50,110,88,96
66,114,94,98
72,116,102,98
82,118,104,102
90,120,110,104
94,124,112,104
94,124,112,108
94,124,108,108
98,130,118,110
104,132,118,110
122,134,126,116
138,138,136,120
138,144,140,124
156,144,140,126
170,148,140,128
184,154,152,134
198,158,160,140
210,168,172,152
214,178,184,160
224,188,196,170
226,194,200,180
230,202,212,194
232,210,216,202
236,216,222,210
238,220,224,216
242,228,228,222
246,228,236,226
244,232,234,230
244,234,240,232
244,236,240,234
246,238,238,234
244,238,242,234
246,236,240,236
250,240,244,236
254,244,250,246
260,248,254,250
268,254,260,256
274,262,266,268
284,270,278,276
292,278,290,292
300,286,298,306
308,294,308,316
312,302,316,322
318,310,320,326
322,318,328,334
328,324,330,340
332,326,336,342
336,332,340,346
340,340,344,352
342,342,348,352
346,344,346,354
348,348,352,354
352,352,354,358
354,352,356,358
354,354,356,0
356,356,356,0
