hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,356,354,356
354,0,356,0
356,0,358,2
358,6,4,4
358,6,6,6
358,8,6,10
358,12,16,18
2,16,16,24
4,20,22,28
4,22,26,38
8,26,32,42
14,32,40,56
22,42,52,70
28,52,66,78
36,60,72,86
50,70,78,92
56,78,88,98
80,86,96,106
98,94,102,108
110,104,108,114
122,110,116,118
130,112,118,118
134,116,120,120
134,118,124,122
134,120,124,122
142,120,126,124
142,126,132,124
144,128,134,128
148,132,140,128
154,136,146,132
154,140,146,134
158,140,150,134
160,148,156,136
166,150,162,140
172,158,170,144
-1,-1,-1,-1
190,178,192,160
198,186,196,166
202,196,200,172
208,204,208,184
212,212,216,192
216,218,220,206
220,222,226,212
226,226,228,218
224,228,230,222
228,230,232,226
228,232,234,230
232,236,236,232
232,236,238,234
234,238,238,232
234,238,240,236
238,244,244,238
242,248,246,246
254,256,250,252
264,264,258,260
276,276,266,274
290,288,274,286
300,294,282,294
310,304,288,306
316,314,294,316
322,322,306,322
328,326,312,328
332,332,318,330
336,336,324,336
340,340,330,342
342,344,334,342
346,348,340,348
348,350,344,348
348,352,346,350
350,356,350,352
354,358,354,358
354,0,356,358
356,0,358,0
