hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,4,4,8
2,8,4,8
2,8,6,10
4,10,8,14
4,10,10,16
8,18,20,26
8,18,22,30
10,24,28,38
14,28,32,42
16,32,36,48
20,38,44,58
28,46,54,70
30,56,64,76
36,54,64,78
42,62,70,84
52,70,80,92
68,78,88,96
72,86,92,100
90,96,100,104
102,102,110,110
116,106,112,112
122,114,116,114
130,120,122,120
134,122,128,120
136,122,128,118
140,120,130,120
140,126,130,126
142,130,136,126
148,132,142,126
152,136,146,130
154,138,148,132
158,140,152,132
160,146,156,134
166,152,162,140
172,158,168,142
180,168,178,148
190,178,190,158
196,188,198,164
202,196,200,170
208,204,208,184
214,210,214,194
218,216,220,204
220,222,222,212
224,226,226,216
226,226,226,216
228,232,230,226
232,236,234,230
230,236,234,232
232,236,234,232
234,236,236,232
236,238,238,232
236,242,238,238
244,246,242,240
252,254,250,248
262,260,256,256
270,272,262,266
290,284,272,282
300,292,278,288
310,306,290,306
318,314,296,316
326,324,308,326
330,328,316,328
336,332,320,334
340,338,328,342
342,342,332,344
348,346,336,348
350,350,342,352
350,352,346,354
352,356,352,356
356,358,352,0
358,0,356,0
358,0,358,2
0,2,0,4
