hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,354,354,0
352,354,356,358
352,354,356,0
358,0,356,2
358,2,2,14
2,10,4,14
4,14,8,18
6,22,12,20
8,26,22,26
10,32,24,32
14,44,30,38
18,52,38,46
20,66,44,58
26,76,50,70
32,88,68,74
38,90,72,82
46,100,84,90
52,104,94,96
70,112,100,98
72,112,104,104
86,120,114,110
100,120,118,116
100,124,128,116
106,128,120,116
104,128,126,122
108,128,118,122
110,136,128,124
128,134,132,122
130,140,138,128
148,142,144,132
162,144,144,128
158,146,148,132
174,148,154,134
188,158,158,142
200,164,164,148
212,174,178,154
218,184,194,168
222,192,196,172
224,200,206,188
230,206,214,196
230,214,216,208
234,222,222,214
236,224,228,216
236,226,224,216
238,228,234,228
242,232,232,228
244,232,234,234
242,232,234,232
244,238,234,230
244,236,236,236
244,238,240,232
248,238,240,238
252,242,248,244
258,248,250,250
264,248,258,252
274,260,266,272
280,266,276,280
290,274,282,290
298,282,292,306
-1,-1,-1,-1
312,298,314,326
316,306,318,328
320,314,324,336
328,322,330,340
332,328,330,342
336,328,340,350
340,338,340,352
344,340,342,350
346,344,348,352
348,350,348,356
352,352,354,356
352,354,354,0
354,354,352,0
