hsv1[0],hsv2[0],hsv3[0],hsv4[0]
356,358,358,2
356,0,356,4
356,8,0,2
358,10,4,4
358,12,6,4
358,22,10,6
4,24,16,14
4,26,16,18
6,32,18,22
8,42,28,24
12,48,28,30
12,54,38,32
16,62,44,42
20,74,50,48
24,76,50,50
30,84,68,60
38,88,78,72
50,94,84,82
62,100,94,90
76,108,100,104
92,112,100,108
98,112,108,108
110,118,114,116
114,124,128,118
112,120,118,124
116,116,116,122
128,118,130,126
138,128,130,132
142,128,132,138
158,130,132,136
166,134,140,142
170,142,152,136
174,140,146,146
192,144,160,152
202,150,168,158
210,164,182,162
218,172,198,174
220,180,198,184
224,190,208,196
228,200,216,200
230,206,220,206
230,212,220,212
234,216,228,220
234,220,228,220
234,222,232,222
234,226,232,224
236,226,234,224
238,226,234,228
238,228,232,226
238,230,234,228
238,230,234,230
244,232,240,232
248,234,240,240
254,242,248,248
262,248,252,262
268,260,262,272
278,272,276,286
288,280,282,304
298,294,294,312
306,308,296,320
314,314,310,328
320,324,320,330
324,330,328,336
330,334,330,342
334,342,336,344
334,342,342,350
340,350,344,350
346,354,348,350
348,354,354,354
350,356,354,354
352,354,354,358
356,2,356,0
356,0,0,2
