hsv1[0],hsv2[0],hsv3[0],hsv4[0]
352,354,352,358
354,356,356,0
358,356,0,8
0,2,6,12
4,4,8,14
8,16,14,28
14,22,22,42
18,26,28,44
22,36,36,54
24,34,36,54
34,56,52,74
42,70,60,84
40,72,60,86
52,82,74,96
56,90,84,100
70,100,90,106
78,106,96,110
80,108,98,110
90,112,104,118
96,120,114,118
104,128,114,122
106,126,126,124
112,132,126,128
110,132,126,128
114,132,126,128
120,132,128,128
124,136,132,128
128,134,134,134
128,142,138,140
140,146,144,142
144,148,146,138
150,150,150,146
156,152,150,148
162,160,160,152
176,162,164,158
190,174,172,168
204,188,184,180
206,196,194,186
212,202,202,194
220,208,208,200
224,216,216,212
226,222,220,218
228,226,224,222
232,228,226,224
232,228,228,224
236,232,232,226
236,234,232,232
236,234,232,230
238,236,232,232
238,234,232,232
238,236,234,232
242,236,236,234
246,240,238,234
248,242,242,238
254,246,248,242
258,252,252,250
270,260,262,252
276,266,272,262
284,274,276,266
292,284,290,274
300,296,294,284
306,304,306,290
314,310,312,298
324,318,320,316
328,322,328,316
332,328,332,322
340,334,340,340
344,338,342,344
348,344,350,346
352,352,354,352
352,352,354,358
354,358,358,356
354,358,358,356
