hsv1[0],hsv2[0],hsv3[0],hsv4[0]
356,4,358,0
358,4,0,0
358,4,0,2
358,8,4,4
0,10,4,8
2,16,10,16
2,16,12,20
4,20,18,22
4,22,22,30
4,24,24,36
8,28,28,38
10,34,38,52
18,42,48,62
22,52,58,74
30,60,70,84
36,68,74,90
48,76,88,98
58,82,92,100
74,90,100,108
90,100,106,114
106,100,112,118
122,106,114,120
128,112,124,124
134,112,126,126
138,116,126,128
136,116,126,130
136,118,130,128
148,122,138,132
152,124,142,132
158,132,144,132
160,134,150,136
160,132,150,138
166,142,156,140
172,144,162,146
182,150,168,148
188,160,180,156
196,174,190,166
202,184,200,174
204,192,202,182
214,200,210,192
216,206,214,198
220,216,222,206
224,218,224,216
226,224,226,220
226,226,228,222
226,228,230,224
232,234,234,230
232,234,238,234
234,236,238,234
234,236,238,234
234,234,240,234
238,242,242,238
248,246,244,242
256,254,250,250
262,262,256,258
274,274,262,270
286,288,270,282
296,298,282,292
308,310,284,302
316,318,296,314
322,326,306,320
-1,-1,-1,-1
332,334,320,330
334,340,326,338
338,344,328,340
342,350,336,346
346,350,340,348
348,354,346,352
350,358,348,354
352,0,350,356
352,0,352,358
354,0,356,358
356,0,356,0
