hsv1[0],hsv2[0],hsv3[0],hsv4[0]
354,356,356,0
354,358,356,0
356,0,354,0
356,4,358,2
358,8,4,4
358,10,4,6
0,16,10,8
0,22,12,14
6,28,18,18
10,34,22,22
10,40,24,22
16,46,36,32
20,60,38,38
24,70,48,46
28,80,60,54
36,86,72,64
42,92,76,74
52,100,86,82
68,102,96,88
90,110,108,104
94,112,110,110
94,118,120,112
106,116,110,114
112,122,118,116
108,122,126,118
112,124,126,120
126,126,130,120
138,128,132,132
152,132,138,132
158,138,144,138
176,140,146,142
172,142,146,142
182,144,156,146
194,148,164,150
202,156,172,160
210,164,182,168
216,172,198,176
220,180,202,188
224,190,210,196
226,204,216,204
228,206,218,210
232,214,224,214
232,216,224,216
236,220,230,222
236,222,230,222
238,224,234,224
240,226,236,226
240,230,236,228
242,226,236,230
242,228,236,230
242,232,238,232
246,232,240,234
250,240,246,244
254,240,248,250
256,250,252,256
266,256,258,274
276,270,270,282
284,280,276,296
292,288,286,308
302,302,300,318
308,316,312,326
316,322,316,330
320,328,326,338
326,334,328,342
332,340,332,348
334,342,336,350
338,346,342,350
342,350,346,354
346,350,350,358
348,356,356,0
350,0,354,2
356,0,358,2
356,4,0,2
