hsv1[0],hsv2[0],hsv3[0],hsv4[0]
346,2,356,358
348,2,2,0
352,18,0,4
358,22,12,8
356,22,4,10
0,22,14,14
4,32,20,24
358,36,16,20
0,40,24,22
16,50,40,36
16,54,42,40
26,64,50,48
32,70,60,60
38,78,70,70
44,80,74,76
56,84,84,84
62,90,86,88
72,92,90,94
80,96,98,102
90,102,106,108
102,110,110,114
108,116,116,120
114,120,120,132
114,120,124,130
120,120,124,132
122,124,128,132
128,126,130,136
136,132,134,138
142,134,136,138
150,136,142,142
158,138,144,146
162,142,146,146
172,140,148,148
184,148,156,152
192,150,158,154
206,156,172,162
212,162,184,168
222,168,194,178
228,176,204,186
236,184,212,196
242,192,218,196
246,202,226,212
248,208,234,216
252,216,238,226
250,220,240,226
250,228,246,232
250,234,250,238
250,232,248,238
250,234,250,236
252,234,250,240
250,242,250,244
256,244,258,250
260,250,260,256
264,262,270,266
270,270,276,276
278,280,280,288
286,292,288,300
290,300,294,308
298,308,300,312
304,316,306,318
310,322,312,322
316,326,316,326
320,332,322,330
324,336,328,336
328,340,332,338
330,342,334,342
332,348,342,346
334,350,344,350
338,354,350,350
338,356,352,352
344,2,352,354
346,6,0,358
348,4,358,0
