hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,10,0,12
352,10,0,12
356,18,10,14
358,22,12,20
4,32,18,26
10,40,26,32
16,50,32,36
18,54,42,36
18,68,42,40
28,64,52,48
40,72,60,54
44,80,70,64
44,78,68,62
52,86,76,70
54,88,78,76
62,94,84,78
70,96,90,82
74,100,90,86
78,106,96,90
86,116,104,96
94,118,114,104
98,118,118,106
106,116,116,116
108,118,118,118
106,118,118,116
114,118,118,116
122,118,128,118
132,126,134,128
138,130,136,122
146,134,144,132
152,138,146,134
156,140,146,138
164,142,150,138
176,148,156,142
184,148,158,144
204,156,168,148
208,164,174,154
222,166,182,156
224,170,192,160
232,180,200,168
238,190,212,182
246,202,218,198
250,206,226,204
252,218,234,218
252,222,238,224
250,230,244,232
252,232,244,230
250,234,248,238
250,236,246,236
252,236,248,234
252,240,248,238
254,242,250,250
258,248,258,256
262,258,264,270
266,262,268,280
274,272,274,290
280,278,282,306
286,286,288,310
294,292,294,320
300,300,300,322
308,310,308,328
312,314,314,330
316,318,318,336
322,328,324,338
324,330,328,344
328,334,334,348
330,340,336,350
334,344,342,354
338,350,348,356
340,354,348,0
344,356,352,4
346,2,356,10
350,8,358,10
