hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,4,6,4
350,8,6,8
354,12,10,8
354,16,14,12
358,20,16,18
0,30,20,22
4,38,30,26
4,38,26,24
2,46,26,26
16,60,40,36
22,62,48,44
28,68,54,50
36,74,64,58
46,80,70,66
50,86,76,72
56,90,82,80
68,94,86,82
74,98,90,86
80,104,96,92
88,112,102,100
102,116,110,106
106,118,116,116
112,116,118,122
118,118,120,118
116,116,118,122
126,116,120,126
128,122,128,128
138,130,138,134
144,132,140,134
150,136,144,140
160,138,146,142
164,140,148,142
172,142,150,146
182,148,158,150
190,150,160,152
204,154,172,162
210,166,180,168
218,170,188,174
226,176,194,184
234,176,202,184
238,188,216,194
244,198,218,208
250,202,224,212
250,212,236,218
250,220,240,228
250,222,244,234
250,228,246,238
250,228,248,236
250,230,248,234
252,232,250,238
252,238,250,242
254,242,256,250
258,252,264,258
264,258,266,268
268,268,272,278
274,274,278,286
282,286,288,302
288,294,294,308
294,302,298,316
302,308,306,322
308,316,312,324
314,322,318,326
320,324,324,334
322,332,326,336
326,336,332,340
328,338,334,342
332,342,338,348
334,346,344,350
336,352,348,354
342,356,350,354
344,356,356,0
346,2,0,4
350,10,0,8
