hsv1[0],hsv2[0],hsv3[0],hsv4[0]
358,358,2,0
0,4,6,6
0,6,6,8
4,8,10,10
2,10,12,10
6,18,12,10
8,22,20,16
8,28,26,18
8,28,24,22
12,36,28,26
16,38,36,28
18,52,44,36
-1,-1,-1,-1
24,70,62,52
32,74,68,64
34,82,70,72
46,90,80,80
48,94,90,86
66,98,96,92
80,104,104,96
92,108,112,106
108,106,110,114
110,108,110,114
112,110,106,114
112,112,110,116
112,116,106,114
116,112,118,116
116,118,122,122
130,116,126,120
146,118,128,128
150,124,132,134
154,124,138,136
168,126,142,138
182,132,156,142
196,140,156,142
208,144,172,156
214,160,188,168
218,166,196,180
222,180,206,188
226,188,210,198
226,202,216,204
228,204,216,212
230,214,222,216
230,216,228,222
234,216,230,224
236,228,234,226
236,224,236,228
236,226,236,226
234,226,236,226
236,226,236,228
238,230,236,228
242,234,236,236
246,234,238,238
250,244,244,246
258,248,248,256
270,264,258,270
282,276,270,288
290,290,276,304
304,312,290,322
316,324,306,326
322,328,316,334
328,334,322,340
332,342,330,344
342,342,336,348
342,346,340,352
344,350,346,356
350,358,354,358
350,0,356,358
352,0,352,0
358,0,6,0
358,2,0,0
2,2,4,6
0,4,2,6
