hsv1[0],hsv2[0],hsv3[0],hsv4[0]
354,358,358,2
0,4,2,10
4,8,6,8
4,12,10,18
8,12,6,14
12,22,16,26
12,26,24,30
14,38,28,36
18,44,36,48
24,54,40,56
28,66,52,70
30,68,52,70
36,76,70,72
42,84,72,84
50,92,82,86
66,98,88,94
72,100,94,96
78,106,98,100
84,110,104,102
92,116,110,106
100,116,116,112
102,118,116,112
104,126,118,116
112,126,116,114
112,126,118,114
116,128,122,114
118,128,128,122
124,130,126,124
126,134,132,130
138,138,136,130
146,142,140,130
152,144,146,132
160,144,146,136
170,150,156,140
178,160,160,146
196,170,174,154
210,180,184,160
214,188,194,170
216,200,202,184
222,208,212,186
230,212,216,200
234,216,222,206
236,222,222,216
236,226,228,216
240,226,228,210
244,232,236,228
246,236,238,232
246,234,240,230
246,234,240,234
246,234,240,230
246,236,240,238
250,240,242,236
250,240,242,240
252,246,248,244
258,250,250,250
262,252,256,248
270,260,262,254
276,262,268,270
286,270,278,276
294,284,284,288
302,290,298,298
314,302,306,310
318,312,316,326
326,316,322,330
330,326,328,340
336,330,332,340
342,340,340,340
342,340,342,344
346,344,348,358
350,354,350,0
352,356,352,4
354,358,358,4
356,4,2,8
