hsv1[0],hsv2[0],hsv3[0],hsv4[0]
0,2,358,2
2,4,2,12
4,8,6,14
4,14,8,16
4,14,10,16
8,26,16,30
8,30,22,28
12,34,26,36
14,40,32,46
18,46,32,50
18,48,34,52
22,62,42,58
26,74,56,72
34,88,70,80
38,88,76,88
46,98,82,90
52,102,90,98
64,104,94,102
72,106,98,104
84,114,104,106
92,118,110,108
94,118,110,112
98,118,110,108
102,120,114,114
102,120,110,110
102,120,114,112
106,128,114,116
112,128,122,118
124,130,128,118
126,132,130,122
142,136,136,126
148,142,138,126
158,142,140,130
170,146,146,134
186,150,148,138
204,164,166,146
216,176,180,154
218,184,190,162
226,194,202,172
226,200,204,184
232,210,212,190
236,216,218,202
238,220,224,210
238,226,228,216
242,232,230,224
244,234,236,226
242,236,234,226
242,236,238,236
244,240,240,236
246,240,240,234
250,240,248,242
250,244,246,244
256,246,248,248
258,250,250,248
268,254,260,252
270,256,264,264
280,266,270,270
284,272,280,280
296,284,294,294
308,290,304,310
314,306,310,316
320,310,320,322
328,320,326,334
332,332,334,340
334,334,342,340
340,340,342,346
346,342,342,354
348,348,348,356
350,352,352,2
352,356,358,4
356,358,358,2
0,0,0,2
0,0,0,2
