hsv1[0],hsv2[0],hsv3[0],hsv4[0]
358,0,4,2
358,2,2,8
0,4,8,8
2,12,12,8
2,14,16,10
4,18,18,14
8,18,18,18
10,26,22,20
12,32,32,24
14,38,30,28
16,44,40,32
24,56,48,42
30,70,62,54
30,76,66,68
30,76,66,66
34,84,78,72
40,90,70,82
48,94,82,86
72,100,104,96
88,104,104,104
94,110,114,110
102,110,118,112
110,112,118,114
108,112,116,116
112,112,116,118
120,116,116,118
122,120,116,122
132,124,116,124
142,126,122,130
152,128,134,134
160,132,150,140
170,130,148,138
182,138,152,144
188,140,156,146
200,146,170,154
210,158,182,166
218,168,188,174
222,174,198,186
224,184,208,194
226,194,210,200
228,198,218,208
230,208,222,212
232,214,224,216
236,220,226,220
238,224,230,224
238,228,232,228
242,230,234,230
240,230,234,230
240,230,234,232
240,232,238,230
244,236,236,234
248,234,240,234
248,240,244,240
252,244,242,248
258,248,248,250
268,262,258,262
278,272,268,280
282,286,272,294
292,298,286,306
304,312,296,320
312,324,304,326
318,326,314,332
324,332,322,336
330,340,330,342
334,340,332,346
338,346,344,350
342,350,342,352
346,348,346,354
350,352,350,356
354,354,352,358
354,358,358,0
356,0,2,2
358,2,4,4
