sample_index,position_combination,anchor_candidate_id,anchor_source,anchor_min_route_min_ber,anchor_worst_route,weak_routes,weak_route_anchor_values
1,"(2, 5, 9, 11, 18, 21, 24)",64,baseline_global_guarded,0.29400000,7->24,"[7->24, 16->24, 22->21, 6->18, 20->5, 25->21, 7->21, 16->11, 4->21, 22->2, 4->18, 16->18, 22->5]","{'7->24': '0.29400000', '16->24': '0.32100000', '22->21': '0.34700000', '6->18': '0.38600000', '20->5': '0.39200000', '25->21': '0.39300000', '7->21': '0.39400000', '16->11': '0.39400000', '4->21': '0.40400000', '22->2': '0.40900000', '4->18': '0.41200000', '16->18': '0.42300000', '22->5': '0.42600000'}"
2,"(4, 11, 15, 16, 21, 22, 24)",158,baseline_global_guarded,0.35600000,26->15,"[26->15, 9->4, 27->11, 2->24, 28->21, 20->15, 7->22, 17->22, 26->11, 7->11, 2->4, 2->11]","{'26->15': '0.35600000', '9->4': '0.38400000', '27->11': '0.38600000', '2->24': '0.39700000', '28->21': '0.39700000', '20->15': '0.41200000', '7->22': '0.41300000', '17->22': '0.41900000', '26->11': '0.42000000', '7->11': '0.42300000', '2->4': '0.42300000', '2->11': '0.42400000'}"
3,"(2, 4, 5, 7, 16, 22, 24)",23,baseline_global_guarded,0.29800000,20->7,"[20->7, 11->2, 9->5, 27->4, 17->24, 25->22, 27->2, 17->7, 25->16, 26->5, 9->2, 25->7, 25->4]","{'20->7': '0.29800000', '11->2': '0.30900000', '9->5': '0.31300000', '27->4': '0.36100000', '17->24': '0.37400000', '25->22': '0.38200000', '27->2': '0.39800000', '17->7': '0.41100000', '25->16': '0.41100000', '26->5': '0.41300000', '9->2': '0.41400000', '25->7': '0.41600000', '25->4': '0.42000000'}"
