hsv1[0],hsv2[0],hsv3[0],hsv4[0]
2,0,2,0
2,4,4,4
4,6,8,4
8,10,10,10
10,14,12,14
14,20,20,16
16,22,22,20
20,30,30,30
22,32,30,32
24,38,38,38
28,44,42,44
34,56,50,54
44,66,62,66
50,74,70,74
56,80,78,80
66,90,82,88
72,92,90,92
74,98,96,96
-1,-1,-1,-1
94,110,106,108
104,116,114,114
110,118,116,118
112,120,120,120
114,124,122,120
114,124,122,124
116,124,124,122
120,128,126,124
126,130,132,126
130,132,134,128
136,138,138,134
142,140,144,136
146,142,144,136
152,148,148,138
162,152,154,142
170,160,162,144
192,172,182,156
-1,-1,-1,-1
206,196,198,180
210,202,202,188
214,206,210,204
218,212,216,212
222,218,220,218
226,222,222,222
230,226,226,226
232,228,228,228
232,230,232,232
236,232,234,236
236,234,234,234
236,234,234,236
236,234,236,236
238,236,236,240
242,240,240,242
244,240,244,242
250,246,248,250
256,250,256,256
264,258,264,264
276,266,272,272
282,272,278,286
292,278,290,296
298,288,294,304
304,294,306,312
312,302,310,318
318,312,318,322
324,320,324,326
330,328,330,330
332,330,334,334
340,336,338,344
346,342,344,346
350,346,348,350
354,350,354,356
358,358,356,356
0,358,0,358
0,0,2,4
