hsv1[0],hsv2[0],hsv3[0],hsv4[0]
358,0,356,2
0,0,0,0
0,2,4,6
2,4,4,8
2,6,10,12
4,10,12,18
6,14,16,24
6,18,20,26
12,22,26,36
-1,-1,-1,-1
16,32,36,52
18,36,44,58
-1,-1,-1,-1
-1,-1,-1,-1
42,68,72,86
52,74,82,92
66,82,88,98
72,86,98,100
84,94,104,108
102,104,106,112
118,110,110,114
118,110,114,118
124,114,118,116
128,114,116,120
128,114,118,118
128,116,118,120
132,118,124,118
136,126,128,120
136,126,130,126
146,132,138,128
148,132,142,132
154,134,144,130
160,140,146,132
166,146,154,136
172,148,160,138
182,160,176,146
196,176,190,152
202,180,198,158
206,196,204,168
212,204,210,176
216,210,216,194
220,216,218,202
224,220,224,210
224,224,228,214
226,228,228,220
228,230,232,224
232,234,234,226
228,234,236,228
230,234,236,232
232,236,236,232
234,238,238,232
240,240,240,238
246,246,244,244
252,254,250,248
260,262,254,260
276,272,260,272
286,284,268,286
302,296,278,298
314,308,288,316
324,318,300,322
330,326,310,328
334,332,314,334
340,338,328,340
344,346,334,348
348,348,336,352
348,350,340,352
350,350,344,354
350,352,346,354
350,352,352,356
356,358,354,358
356,0,354,358
358,2,356,0
358,2,0,0
