hsv1[0],hsv2[0],hsv3[0],hsv4[0]
358,358,358,356
358,0,2,0
0,0,4,4
6,10,8,4
8,10,12,12
16,16,20,16
22,18,26,18
26,22,30,26
30,30,36,32
32,34,42,34
42,44,54,48
54,56,68,54
66,72,76,70
72,72,82,76
76,84,86,84
84,86,94,92
86,92,98,96
90,98,104,98
100,102,110,100
100,110,110,108
104,112,112,106
102,112,112,108
104,112,114,106
110,122,116,118
112,114,114,116
112,118,116,118
110,124,122,118
116,126,124,124
122,128,126,126
126,126,134,128
130,130,132,132
132,136,134,134
138,138,138,136
144,142,146,140
152,146,148,144
166,158,160,154
184,164,172,160
192,176,178,172
200,184,190,182
212,194,202,190
218,206,206,200
222,212,214,208
226,218,222,216
234,226,226,222
234,226,230,224
238,232,234,228
238,232,236,232
240,232,236,232
240,232,236,232
240,232,236,230
240,236,238,236
244,240,240,238
250,246,244,242
252,250,248,250
256,254,254,260
264,266,262,270
274,280,272,284
280,290,278,292
292,306,292,312
302,318,304,320
312,326,314,330
320,332,322,334
328,336,328,340
334,344,332,348
338,348,336,346
340,346,342,350
342,350,346,352
348,352,348,356
350,354,352,354
350,354,354,354
352,356,354,356
358,356,358,358
358,356,358,358
