hsv1[0],hsv2[0],hsv3[0],hsv4[0]
358,358,0,2
0,2,2,8
0,6,4,10
2,10,6,12
4,14,8,24
6,24,16,32
12,30,26,42
14,38,34,46
18,46,34,50
20,48,38,60
26,62,44,72
30,76,62,78
36,84,72,86
40,94,74,94
44,98,82,96
60,106,88,98
54,106,90,102
66,104,96,104
72,110,98,106
84,116,100,108
94,124,106,112
94,122,110,112
100,122,112,114
102,124,112,114
102,124,110,114
102,124,114,116
112,128,118,118
108,128,118,118
124,128,124,120
124,138,132,124
144,138,136,124
148,138,136,126
156,144,138,132
170,144,144,136
186,152,156,142
202,164,166,144
212,176,184,156
218,182,190,166
226,188,196,176
228,202,206,188
232,210,216,196
234,220,218,206
236,224,222,214
240,222,228,222
238,228,232,226
242,232,232,230
242,236,236,232
244,236,236,232
242,236,236,234
242,236,236,234
244,236,236,234
246,240,242,238
250,240,242,240
256,244,248,246
262,248,254,248
268,258,264,250
278,264,268,266
284,270,280,272
294,282,288,282
306,294,302,298
312,302,310,306
320,316,316,320
326,318,326,332
332,330,334,334
338,332,342,344
340,336,342,344
342,340,344,342
350,346,346,344
350,350,350,350
352,350,352,358
356,358,356,4
358,358,2,4
358,4,2,6
